guessRank1,utterance,simRank1,Answer.time_in_minutes,blockNr,guessRank2,simRank0,targetUttCode,uttCode,evalNum,simulatedAnswer,trial_type,numFeatures,slide_number,response1,obj3,targetFeatureNum,order2,guessRank0,pref0,obj2,targetFeature,pref2,order1,normResponse1,pref1,order0,workerid,response0,response2,item,trialNum,certainty,featuresPresent,obj1,simPreference1,name,normResponse0,normResponse2,sex,simPreference0,simRank2,simPreference2
,blue,,8.364666666666666,1,,,22b2b-2,22b2b,,331,task,4,14,0.5,233,1,211,,cloud,331,shape,square,233,0.25641025641025644,circle,331,1,0.65,0.8,23290,3,,"['solid', 'polka-dotted', 'blue', 'green']",211,0,task,0.33333333333333337,0.4102564102564103,female,0.5,,1
,,,8.364666666666666,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
cloud,,cloud,8.364666666666666,,circle,square,,,3,,,,,,,,,square,,,,,,,,,1,,,,,,,,,,,,,,circle,
,red,,8.364666666666666,2,,,22b1-2,22b1,,222,task,5,19,0.7,323,1,211,,cloud,222,shape,square,222,0.33333333333333337,circle,323,1,0.6,0.8,18500,0,,"['solid', 'striped', 'blue', 'red', 'green']",211,0.5,task,0.28571428571428575,0.38095238095238104,female,0,,1
,red,,8.364666666666666,2,,,321-2,321,,122,task,4,20,0.85,323,1,122,,cloud,122,shape,square,321,0.33999999999999997,circle,323,1,0.75,0.9,18420,1,,"['striped', 'blue', 'red', 'green']",321,0.5,task,0.3,0.36,female,0,,1
,red,,8.364666666666666,2,,,211-3,211,,112,task,5,21,0.75,233,1,233,,cloud,323,shape,square,112,0.3409090909090909,circle,323,1,0.6,0.85,25620,2,,"['solid', 'striped', 'polka-dotted', 'red', 'green']",112,0.5,task,0.2727272727272727,0.3863636363636363,female,0,,1
,red,,8.364666666666666,2,,,22a2b-2a,22a2b,,322,task,4,22,0.85,322,1,211,,cloud,221,shape,square,221,0.36170212765957444,circle,322,1,0.65,0.85,3710,3,,"['solid', 'striped', 'blue', 'red']",211,0.5,task,0.2765957446808511,0.36170212765957444,female,0,,1
,,,8.364666666666666,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
square,,circle,8.364666666666666,,cloud,square,,,2,,,,,,,,,circle,,,,,,,,,1,,,,,,,,,,,,,,cloud,
,red,,8.364666666666666,3,,,331-3,331,,312,task,2,27,0.6,332,2,312,,solid,322,texture,polka-dotted,332,0.3076923076923077,striped,322,1,0.6,0.75,7820,0,,"['square', 'red']",312,0,task,0.3076923076923077,0.38461538461538464,female,1,,0.5
,red,,8.364666666666666,3,,,22b2b-2,22b2b,,132,task,4,28,0.6,233,2,132,,solid,123,texture,polka-dotted,123,0.3076923076923077,striped,233,1,0.65,0.7,25251,1,,"['cloud', 'circle', 'red', 'green']",132,0,task,0.33333333333333337,0.358974358974359,female,1,,0.5
,red,,8.364666666666666,3,,,22a2b-2a,22a2b,,132,task,4,29,0.6,232,2,121,,solid,132,texture,polka-dotted,232,0.3,striped,132,1,0.75,0.65,6681,2,,"['cloud', 'circle', 'blue', 'red']",121,0,task,0.375,0.325,female,1,,0.5
,red,,8.364666666666666,3,,,22a2b-2a,22a2b,,122,task,4,30,0.6,113,2,322,,solid,322,texture,polka-dotted,122,0.3076923076923077,striped,113,1,0.7,0.65,9191,3,,"['cloud', 'square', 'red', 'green']",122,0,task,0.358974358974359,0.33333333333333337,female,1,,0.5
,,,8.364666666666666,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
polka-dotted,,polka-dotted,8.364666666666666,,striped,solid,,,3,,,,,,,,,solid,,,,,,,,,1,,,,,,,,,,,,,,striped,
,square,,15.116816666666667,0,,,22a1-3,22a1,,311,task,4,3,0.15,233,3,233,,blue,232,color,green,311,0.10714285714285715,red,232,2,0.9,0.35,24222,0,,"['circle', 'square', 'solid', 'polka-dotted']",311,0,task,0.6428571428571429,0.25,female,0.5,,1
,striped,,15.116816666666667,0,,,22b1-2,22b1,,121,task,5,4,0.25,332,3,121,,blue,222,color,green,332,0.18518518518518517,red,222,2,0.7,0.4,7612,1,,"['cloud', 'circle', 'square', 'striped', 'polka-dotted']",121,0,task,0.5185185185185185,0.2962962962962963,female,0.5,,1
,polka-dotted,,15.116816666666667,0,,,321-3,321,,133,task,3,5,0.25,133,3,133,,blue,112,color,green,131,0.18518518518518517,red,112,2,0.15,0.95,20661,2,,"['cloud', 'solid', 'polka-dotted']",131,0,task,0.1111111111111111,0.7037037037037036,female,0.5,,1
,square,,15.116816666666667,0,,,322b-2,322b,,333,task,3,6,0.15,333,3,331,,blue,331,color,green,311,0.12,red,333,2,0.15,0.95,26301,3,,"['square', 'solid', 'polka-dotted']",311,0,task,0.12,0.76,female,0.5,,1
,,,15.116816666666667,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0.75,,,,,,,,,,
red,,blue,15.116816666666667,,blue,green,,,2,,,,,,,,,green,,,,,,,,,2,,,,,,,,,,,,,,red,
,square,,15.116816666666667,1,,,321-2,321,,311,task,4,11,0.1,212,3,212,,blue,311,color,green,311,0.08333333333333333,red,111,2,1,0.1,1211,0,,"['cloud', 'circle', 'square', 'solid']",111,0.5,task,0.8333333333333333,0.08333333333333333,female,0,,1
,striped,,15.116816666666667,1,,,22a2b-2a,22a2b,,322,task,4,12,0.8,213,3,213,,blue,322,color,green,312,0.6153846153846154,red,322,2,0.3,0.2,10712,1,,"['circle', 'square', 'solid', 'striped']",312,0.5,task,0.23076923076923075,0.15384615384615385,female,0,,1
,striped,,15.116816666666667,1,,,22a2b-2a,22a2b,,221,task,4,13,0.35,333,3,333,,blue,231,color,green,221,0.21212121212121213,red,231,2,0.95,0.35,26252,2,,"['circle', 'square', 'striped', 'polka-dotted']",221,0.5,task,0.5757575757575758,0.21212121212121213,female,0,,1
,striped,,15.116816666666667,1,,,331-3,331,,323,task,2,14,0.5,323,3,321,,blue,322,color,green,322,0.2777777777777778,red,323,2,0.45,0.85,18670,3,,"['square', 'striped']",321,0.5,task,0.25000000000000006,0.47222222222222227,female,0,,1
,,,15.116816666666667,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0.9,,,,,,,,,,
red,,red,15.116816666666667,,blue,green,,,3,,,,,,,,,green,,,,,,,,,2,,,,,,,,,,,,,,blue,
,cloud,,15.116816666666667,2,,,322b-2,322b,,112,task,3,19,0.15,122,2,212,,solid,212,texture,polka-dotted,122,0.11538461538461538,striped,112,2,0.9,0.25,2741,0,,"['cloud', 'circle', 'red']",112,0,task,0.6923076923076923,0.1923076923076923,female,0.5,,1
,blue,,15.116816666666667,2,,,321-2,321,,231,task,4,20,0.35,213,2,231,,solid,232,texture,polka-dotted,232,0.1794871794871795,striped,213,2,0.65,0.95,10960,1,,"['circle', 'blue', 'red', 'green']",231,0,task,0.33333333333333337,0.48717948717948717,female,0.5,,1
,red,,15.116816666666667,2,,,22b2b-2,22b2b,,332,task,4,21,0.35,133,2,112,,solid,332,texture,polka-dotted,133,0.25925925925925924,striped,332,2,0.5,0.5,21691,2,,"['cloud', 'square', 'red', 'green']",112,0,task,0.37037037037037035,0.37037037037037035,female,0.5,,1
,square,,15.116816666666667,2,,,321-3,321,,322,task,3,22,1,232,2,322,,solid,322,texture,polka-dotted,212,0.46511627906976744,striped,232,2,0.65,0.5,6611,3,,"['circle', 'square', 'red']",212,0,task,0.3023255813953489,0.23255813953488372,female,0.5,,1
,,,15.116816666666667,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0.8,,,,,,,,,,
solid,,solid,15.116816666666667,,polka-dotted,polka-dotted,,,0,,,,,,,,,striped,,,,,,,,,2,,,,,,,,,,,,,,striped,
,striped,,15.116816666666667,3,,,22b1-3,22b1,,123,task,4,27,0.45,123,3,221,,blue,232,color,green,232,0.21951219512195125,red,123,2,0.9,0.7,14542,0,,"['cloud', 'circle', 'striped', 'polka-dotted']",221,0,task,0.4390243902439025,0.34146341463414637,female,0.5,,1
,polka-dotted,,15.116816666666667,3,,,22b1-3,22b1,,331,task,4,28,0.6,313,3,313,,blue,212,color,green,212,0.2790697674418604,red,331,2,1,0.55,11932,1,,"['circle', 'square', 'solid', 'polka-dotted']",331,0,task,0.4651162790697674,0.25581395348837205,female,0.5,,1
,polka-dotted,,15.116816666666667,3,,,321-3,321,,133,task,3,29,0.65,133,3,133,,blue,112,color,green,131,0.27659574468085113,red,112,2,1,0.7,20661,2,,"['cloud', 'solid', 'polka-dotted']",131,0,task,0.4255319148936171,0.29787234042553196,female,0.5,,1
,circle,,15.116816666666667,3,,,311-3,311,,211,task,4,30,0.75,113,3,113,,blue,312,color,green,211,0.3191489361702127,red,312,2,1,0.6,8721,3,,"['cloud', 'circle', 'square', 'solid']",211,0,task,0.425531914893617,0.2553191489361702,female,0.5,,1
,,,15.116816666666667,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0.9,,,,,,,,,,
red,,blue,15.116816666666667,,green,green,,,1,,,,,,,,,blue,,,,,,,,,2,,,,,,,,,,,,,,red,
,red,,22.698716666666666,0,,,22b2b-2,22b2b,,332,task,4,3,0.45,133,1,133,,cloud,332,shape,square,112,0.36,circle,332,3,0.1,0.7,21690,0,,"['solid', 'polka-dotted', 'red', 'green']",112,0,task,0.08,0.5599999999999999,male,0.5,,1
,green,,22.698716666666666,0,,,22b2b-2,22b2b,,333,task,4,4,0.1,333,1,231,,cloud,213,shape,square,213,0.1,circle,333,3,0.1,0.8,27780,1,,"['solid', 'polka-dotted', 'blue', 'green']",231,0,task,0.1,0.8,male,0.5,,1
,red,,22.698716666666666,0,,,22a2b-2b,22a2b,,312,task,4,5,0.1,312,1,312,,cloud,112,shape,square,112,0.09090909090909091,circle,131,3,0.1,0.9,2070,2,,"['solid', 'polka-dotted', 'blue', 'red']",131,0,task,0.09090909090909091,0.8181818181818181,male,0.5,,1
,striped,,22.698716666666666,0,,,22a2b-2a,22a2b,,322,task,4,6,0,322,1,221,,cloud,221,shape,square,211,0,circle,322,3,0,1,3710,3,,"['solid', 'striped', 'blue', 'red']",211,0,task,0,1,male,0.5,,1
,,,22.698716666666666,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,
circle,,cloud,22.698716666666666,,cloud,square,,,2,,,,,,,,,square,,,,,,,,,3,,,,,,,,,,,,,,circle,
,polka-dotted,,22.698716666666666,1,,,322b-2,322b,,333,task,3,11,0,333,1,333,,cloud,233,shape,square,233,0,circle,223,3,0.45,0.95,29220,0,,"['striped', 'polka-dotted', 'green']",223,0,task,0.32142857142857145,0.6785714285714286,male,1,,0.5
,striped,,22.698716666666666,1,,,22a2b-2b,22a2b,,121,task,4,12,0,112,1,112,,cloud,321,shape,square,321,0,circle,121,3,1,0.5,970,1,,"['solid', 'striped', 'blue', 'red']",121,0,task,0.6666666666666666,0.3333333333333333,male,1,,0.5
,solid,,22.698716666666666,1,,,322b-2,322b,,113,task,3,13,0,223,1,213,,cloud,213,shape,square,113,0,circle,223,3,1,0.5,17290,2,,"['solid', 'striped', 'green']",113,0,task,0.6666666666666666,0.3333333333333333,male,1,,0.5
,polka-dotted,,22.698716666666666,1,,,22a2b-2a,22a2b,,333,task,4,14,0,333,1,333,,cloud,231,shape,square,221,0,circle,231,3,1,0.5,26250,3,,"['striped', 'polka-dotted', 'blue', 'green']",221,0,task,0.6666666666666666,0.3333333333333333,male,1,,0.5
,,,22.698716666666666,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,
square,,square,22.698716666666666,,circle,cloud,,,3,,,,,,,,,cloud,,,,,,,,,3,,,,,,,,,,,,,,circle,
,green,,22.698716666666666,2,,,22a1-3,22a1,,213,task,4,19,0.5,233,2,321,,solid,213,texture,polka-dotted,213,0.3333333333333333,striped,233,3,0.5,0.5,24761,0,,"['circle', 'square', 'blue', 'green']",321,0.5,task,0.3333333333333333,0.3333333333333333,male,1,,0
,blue,,22.698716666666666,2,,,22b2b-2,22b2b,,121,task,4,20,1,322,2,322,,solid,331,texture,polka-dotted,331,0.6666666666666666,striped,121,3,0.5,0,3951,1,,"['cloud', 'square', 'blue', 'red']",121,0.5,task,0.3333333333333333,0,male,1,,0
,green,,22.698716666666666,2,,,22a1-3,22a1,,113,task,4,21,0.45,133,2,133,,solid,113,texture,polka-dotted,113,0.3103448275862069,striped,221,3,1,0,21811,2,,"['cloud', 'circle', 'blue', 'green']",221,0.5,task,0.6896551724137931,0,male,1,,0
,circle,,22.698716666666666,2,,,311-3,311,,211,task,4,22,0.45,223,2,211,,solid,232,texture,polka-dotted,223,0.3103448275862069,striped,232,3,1,0,16610,3,,"['circle', 'blue', 'red', 'green']",211,0.5,task,0.6896551724137931,0,male,1,,0
,,,22.698716666666666,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,0.95,,,,,,,,,,
striped,,striped,22.698716666666666,,polka-dotted,solid,,,3,,,,,,,,,solid,,,,,,,,,3,,,,,,,,,,,,,,polka-dotted,
,striped,,22.698716666666666,3,,,22a1-3,22a1,,122,task,4,27,1,123,3,123,,blue,122,color,green,211,0.5,red,122,3,0.5,0.5,13972,0,,"['cloud', 'circle', 'solid', 'striped']",211,1,task,0.25,0.25,male,0,,0.5
,cloud,,22.698716666666666,3,,,22a2b-2a,22a2b,,112,task,4,28,1,133,3,133,,blue,312,color,green,112,0.5,red,312,3,0.5,0.5,20882,1,,"['cloud', 'square', 'solid', 'polka-dotted']",112,1,task,0.25,0.25,male,0,,0.5
,striped,,22.698716666666666,3,,,22b2b-2,22b2b,,322,task,4,29,1,132,3,132,,blue,322,color,green,322,0.5,red,121,3,0.5,0.5,5492,2,,"['cloud', 'square', 'striped', 'polka-dotted']",121,1,task,0.25,0.25,male,0,,0.5
,cloud,,22.698716666666666,3,,,22a1-3,22a1,,122,task,4,30,1,123,3,122,,blue,122,color,green,231,0.5,red,123,3,0.5,0.5,14032,3,,"['cloud', 'circle', 'striped', 'polka-dotted']",231,1,task,0.25,0.25,male,0,,0.5
,,,22.698716666666666,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,0.65,,,,,,,,,,
green,,green,22.698716666666666,,blue,red,,,3,,,,,,,,,red,,,,,,,,,3,,,,,,,,,,,,,,blue,
,cloud,,7.8805,0,,,311-3,311,,121,task,4,3,0.9,133,2,112,,solid,112,texture,polka-dotted,121,0.6666666666666666,striped,133,4,0.4,0.05,20630,0,,"['cloud', 'blue', 'red', 'green']",121,1,task,0.2962962962962963,0.037037037037037035,male,0,,0.5
,red,,7.8805,0,,,321-3,321,,322,task,3,4,1,232,2,212,,solid,322,texture,polka-dotted,232,0.8695652173913042,striped,322,4,0.1,0.05,6611,1,,"['circle', 'square', 'red']",212,1,task,0.08695652173913043,0.043478260869565216,male,0,,0.5
,cloud,,7.8805,0,,,22b2b-2,22b2b,,133,task,4,5,0,133,2,111,,solid,231,texture,polka-dotted,231,0,striped,133,4,0.3,0.55,20451,2,,"['cloud', 'circle', 'blue', 'green']",111,1,task,0.3529411764705882,0.6470588235294118,male,0,,0.5
,circle,,7.8805,0,,,22b2b-2,22b2b,,231,task,4,6,0,132,2,212,,solid,212,texture,polka-dotted,231,0,striped,132,4,0.1,0.85,5071,3,,"['cloud', 'circle', 'blue', 'red']",231,1,task,0.10526315789473685,0.8947368421052632,male,0,,0.5
,,,7.8805,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,0.6,,,,,,,,,,
solid,,polka-dotted,7.8805,,striped,striped,,,1,,,,,,,,,polka-dotted,,,,,,,,,4,,,,,,,,,,,,,,solid,
,green,,7.8805,1,,,22b2b-2,22b2b,,233,task,4,11,0.95,233,1,233,,cloud,123,shape,square,123,0.6551724137931034,circle,132,4,0,0.5,25250,0,,"['striped', 'polka-dotted', 'red', 'green']",132,1,task,0,0.3448275862068966,male,0.5,,0
,solid,,7.8805,1,,,311-3,311,,211,task,4,12,0.95,313,1,211,,cloud,112,shape,square,112,0.8260869565217391,circle,313,4,0,0.2,11770,1,,"['solid', 'blue', 'red', 'green']",211,1,task,0,0.1739130434782609,male,0.5,,0
,striped,,7.8805,1,,,22a2b-2a,22a2b,,223,task,4,13,0.7,133,1,222,,cloud,223,shape,square,223,0.7777777777777778,circle,133,4,0,0.2,22680,2,,"['striped', 'polka-dotted', 'red', 'green']",222,1,task,0,0.22222222222222227,male,0.5,,0
,blue,,7.8805,1,,,22b2b-2,22b2b,,121,task,4,14,0.95,322,1,331,,cloud,331,shape,square,121,0.6785714285714286,circle,322,4,0.45,0,3950,3,,"['striped', 'polka-dotted', 'blue', 'red']",121,1,task,0.32142857142857145,0,male,0.5,,0
,,,7.8805,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,0.75,,,,,,,,,,
cloud,,cloud,7.8805,,square,circle,,,3,,,,,,,,,circle,,,,,,,,,4,,,,,,,,,,,,,,square,
,green,,7.8805,2,,,22b1-3,22b1,,113,task,4,19,0.05,323,2,323,,solid,113,texture,polka-dotted,113,0.034482758620689655,striped,131,4,0.9,0.5,19301,0,,"['cloud', 'square', 'blue', 'green']",131,0.5,task,0.6206896551724137,0.3448275862068965,male,1,,0
,red,,7.8805,2,,,211-3,211,,312,task,5,20,0.05,222,2,131,,solid,312,texture,polka-dotted,222,0.03225806451612903,striped,312,4,1,0.5,3471,1,,"['cloud', 'circle', 'square', 'blue', 'red']",131,0.5,task,0.6451612903225806,0.3225806451612903,male,1,,0
,blue,,7.8805,2,,,331-3,331,,311,task,2,21,0.05,331,2,311,,solid,321,texture,polka-dotted,321,0.03225806451612903,striped,331,4,1,0.5,680,2,,"['square', 'blue']",311,0.5,task,0.6451612903225806,0.3225806451612903,male,1,,0
,green,,7.8805,2,,,22b1-2,22b1,,213,task,5,22,0.05,323,2,111,,solid,213,texture,polka-dotted,323,0.03225806451612903,striped,213,4,1,0.5,19421,3,,"['cloud', 'circle', 'square', 'blue', 'green']",111,0.5,task,0.6451612903225806,0.3225806451612903,male,1,,0
,,,7.8805,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,0.7,,,,,,,,,,
polka-dotted,,striped,7.8805,,striped,solid,,,2,,,,,,,,,solid,,,,,,,,,4,,,,,,,,,,,,,,polka-dotted,
,square,,7.8805,3,,,22b1-3,22b1,,323,task,4,27,0.95,323,2,323,,solid,332,texture,polka-dotted,112,0.6129032258064515,striped,332,4,0.5,0.1,19161,0,,"['cloud', 'square', 'red', 'green']",112,1,task,0.3225806451612903,0.06451612903225806,male,0.5,,0
,cloud,,7.8805,3,,,22a1-3,22a1,,122,task,4,28,0.95,313,2,132,,solid,132,texture,polka-dotted,313,0.6333333333333333,striped,122,4,0.5,0.05,12571,1,,"['cloud', 'square', 'red', 'green']",122,1,task,0.3333333333333333,0.03333333333333333,male,0.5,,0
,circle,,7.8805,3,,,22a2b-2a,22a2b,,221,task,4,29,0.95,233,2,121,,solid,221,texture,polka-dotted,233,0.6333333333333333,striped,221,4,0.5,0.05,23091,2,,"['cloud', 'circle', 'blue', 'green']",121,1,task,0.3333333333333333,0.03333333333333333,male,0.5,,0
,green,,7.8805,3,,,322b-2,322b,,313,task,3,30,0.95,333,2,233,,solid,233,texture,polka-dotted,333,0.6333333333333333,striped,313,4,0.5,0.05,29201,3,,"['circle', 'square', 'green']",313,1,task,0.3333333333333333,0.03333333333333333,male,0.5,,0
,,,7.8805,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,0.95,,,,,,,,,,
solid,,solid,7.8805,,polka-dotted,striped,,,3,,,,,,,,,striped,,,,,,,,,4,,,,,,,,,,,,,,polka-dotted,
