sex,targetUttCode,featuresPresent,normResponse2,obj1,trial_type,blockNr,obj2,name,normResponse1,numFeatures,certainty,uttCode,utterance,pref2,targetFeature,targetFeatureNum,response0,Answer.time_in_minutes,normResponse0,response1,response2,workerid,slide_number,pref3,item,pref1,obj3
female,22b1-3,"['circle', 'square', 'blue', 'green']",0.5,311,task,1,231,,0.16666666666666666,4,,22b1,circle,striped,texture,2,0.5,7.702966666666667,0.3333333333333333,0.25,0.75,3,11,polka-dotted,15631,solid,223
female,22b2b-2,"['cloud', 'square', 'blue', 'red']",0.5517241379310345,121,task,1,331,,0.10344827586206895,4,,22b2b,blue,striped,texture,2,0.5,7.702966666666667,0.3448275862068965,0.15,0.8,3,12,polka-dotted,4861,solid,132
female,22a2b-2a,"['circle', 'square', 'blue', 'red']",0.6071428571428572,221,task,1,222,,0.03571428571428572,4,,22a2b,red,striped,texture,2,0.5,7.702966666666667,0.35714285714285715,0.05,0.85,3,13,polka-dotted,7621,solid,332
female,22b2b-2,"['cloud', 'circle', 'red', 'green']",0.6071428571428572,222,task,1,123,,0.03571428571428572,4,,22b2b,green,striped,texture,2,0.5,7.702966666666667,0.35714285714285715,0.05,0.85,3,14,polka-dotted,25231,solid,233
,,,,,,,,,,,0.7,,,,,,,7.702966666666667,,,,3,,,,,
female,22a2b-2b,"['cloud', 'square', 'blue', 'red']",0.3333333333333333,311,task,2,321,,0.5,4,,22a2b,square,striped,texture,2,0.25,7.702966666666667,0.16666666666666666,0.75,0.5,3,19,polka-dotted,2321,solid,122
female,22b1-2,"['cloud', 'circle', 'square', 'blue', 'green']",0.17857142857142858,321,task,2,123,,0.6428571428571429,5,,22b1,green,striped,texture,2,0.25,7.702966666666667,0.17857142857142858,0.9,0.25,3,20,polka-dotted,25151,solid,233
female,322b-2,"['cloud', 'circle', 'blue']",0.1724137931034483,111,task,2,211,,0.6896551724137931,3,,322b,circle,striped,texture,2,0.2,7.702966666666667,0.13793103448275862,1,0.25,3,21,polka-dotted,41,solid,221
female,22a2b-2b,"['circle', 'square', 'red', 'green']",0.14285714285714288,212,task,2,222,,0.7142857142857143,4,,22a2b,circle,striped,texture,2,0.2,7.702966666666667,0.14285714285714288,1,0.2,3,22,polka-dotted,18591,solid,323
,,,,,,,,,,,0.6,,,,,,,7.702966666666667,,,,3,,,,,
female,311-3,"['cloud', 'blue', 'red', 'green']",0,121,task,0,112,,0,4,,311,red,striped,texture,2,1,5.508333333333334,1,0,0,4,3,polka-dotted,20630,solid,133
female,311-3,"['cloud', 'circle', 'square', 'green']",0,113,task,0,323,,1,4,,311,green,striped,texture,2,0,5.508333333333334,0,1,0,4,4,polka-dotted,25711,solid,233
female,321-3,"['square', 'blue', 'red']",0,311,task,0,322,,1,3,,321,red,striped,texture,2,0,5.508333333333334,0,1,0,4,5,polka-dotted,7730,solid,332
female,211-3,"['cloud', 'square', 'blue', 'red', 'green']",1,111,task,0,332,,0,5,,211,red,striped,texture,2,0,5.508333333333334,0,0,1,4,6,polka-dotted,14661,solid,123
,,,,,,,,,,,0.75,,,,,,,5.508333333333334,,,,4,,,,,
female,331-3,"['polka-dotted', 'red']",0,132,task,1,232,,0.95,2,,331,red,circle,shape,1,0.05,5.508333333333334,0.05,0.95,0,4,11,square,8150,cloud,332
female,22a2b-2a,"['solid', 'striped', 'red', 'green']",0,312,task,1,322,,1,4,,22a2b,green,circle,shape,1,0,5.508333333333334,0,1,0,4,12,square,10710,cloud,213
female,311-3,"['solid', 'striped', 'polka-dotted', 'red']",0,312,task,1,122,,1,4,,311,polka-dotted,circle,shape,1,0,5.508333333333334,0,1,0,4,13,square,6370,cloud,232
female,321-3,"['polka-dotted', 'blue', 'green']",0,231,task,1,331,,1,3,,321,polka-dotted,circle,shape,1,0,5.508333333333334,0,1,0,4,14,square,20590,cloud,133
,,,,,,,,,,,0.85,,,,,,,5.508333333333334,,,,4,,,,,
female,322b-2,"['circle', 'square', 'green']",0,313,task,2,233,,0,3,,322b,square,striped,texture,2,1,5.508333333333334,1,0,0,4,19,polka-dotted,29201,solid,333
female,22b2b-2,"['circle', 'square', 'blue', 'red']",0,321,task,2,222,,0.3846153846153846,4,,22b2b,square,striped,texture,2,0.8,5.508333333333334,0.6153846153846154,0.5,0,4,20,polka-dotted,7631,solid,332
female,211-3,"['cloud', 'circle', 'square', 'red', 'green']",0,112,task,2,323,,0.5555555555555555,5,,211,square,striped,texture,2,0.6,5.508333333333334,0.4444444444444444,0.75,0,4,21,polka-dotted,25621,solid,233
female,22a2b-2a,"['cloud', 'circle', 'blue', 'green']",0,121,task,2,221,,0.6206896551724137,4,,22a2b,blue,striped,texture,2,0.55,5.508333333333334,0.3793103448275862,0.9,0,4,22,polka-dotted,23091,solid,233
,,,,,,,,,,,0.85,,,,,,,5.508333333333334,,,,4,,,,,
male,311-3,"['solid', 'striped', 'polka-dotted', 'red']",0.08695652173913043,112,task,0,322,,0.826086956521739,4,,311,red,circle,shape,1,0.1,7.6257166666666665,0.08695652173913043,0.95,0.1,5,3,square,6600,cloud,232
male,22a2b-2a,"['solid', 'striped', 'blue', 'red']",0,211,task,0,221,,0.9090909090909091,4,,22a2b,striped,circle,shape,1,0.1,7.6257166666666665,0.09090909090909091,1,0,5,4,square,3710,cloud,322
male,22a2b-2a,"['solid', 'polka-dotted', 'blue', 'green']",0,311,task,0,331,,0.9090909090909091,4,,22a2b,solid,circle,shape,1,0.1,7.6257166666666665,0.09090909090909091,1,0,5,5,square,9990,cloud,213
male,22b1-3,"['solid', 'polka-dotted', 'blue', 'red']",0,211,task,0,331,,1,4,,22b1,polka-dotted,circle,shape,1,0,7.6257166666666665,0,1,0,5,6,square,4840,cloud,132
,,,,,,,,,,,1,,,,,,,7.6257166666666665,,,,5,,,,,
male,22a2b-2b,"['solid', 'striped', 'blue', 'green']",0,221,task,1,213,,0.5833333333333334,4,,22a2b,solid,circle,shape,1,0.5,7.6257166666666665,0.4166666666666667,0.7,0,5,11,square,13150,cloud,313
male,22a2b-2b,"['solid', 'striped', 'blue', 'red']",0,121,task,1,321,,0.5,4,,22a2b,striped,circle,shape,1,0.7,7.6257166666666665,0.5,0.7,0,5,12,square,970,cloud,112
male,322b-2,"['solid', 'polka-dotted', 'blue']",0,111,task,1,131,,0.625,3,,322b,polka-dotted,circle,shape,1,0.6,7.6257166666666665,0.37499999999999994,1,0,5,13,square,500,cloud,231
male,322b-2,"['polka-dotted', 'red', 'green']",0,332,task,1,133,,0.625,3,,322b,polka-dotted,circle,shape,1,0.6,7.6257166666666665,0.37499999999999994,1,0,5,14,square,28930,cloud,333
,,,,,,,,,,,1,,,,,,,7.6257166666666665,,,,5,,,,,
male,22b1-2,"['cloud', 'circle', 'square', 'blue', 'green']",0.5833333333333334,311,task,2,231,,0.4166666666666667,5,,22b1,blue,striped,texture,2,0,7.6257166666666665,0,0.5,0.7,5,19,polka-dotted,8391,solid,113
male,22b2b-2,"['cloud', 'square', 'blue', 'red']",0.6451612903225806,121,task,2,331,,0.3548387096774194,4,,22b2b,cloud,striped,texture,2,0,7.6257166666666665,0,0.55,1,5,20,polka-dotted,4861,solid,132
male,22a1-3,"['cloud', 'square', 'blue', 'green']",0.7142857142857143,111,task,2,323,,0.28571428571428575,4,,22a1,green,striped,texture,2,0,7.6257166666666665,0,0.4,1,5,21,polka-dotted,28531,solid,333
male,22a1-3,"['circle', 'square', 'blue', 'green']",0.7142857142857143,321,task,2,213,,0.28571428571428575,4,,22a1,circle,striped,texture,2,0,7.6257166666666665,0,0.4,1,5,22,polka-dotted,24761,solid,233
,,,,,,,,,,,1,,,,,,,7.6257166666666665,,,,5,,,,,
female,331-3,"['solid', 'red']",1,112,task,0,212,,0,2,,331,solid,circle,shape,1,0,7.7513,0,0,1,6,3,square,2190,cloud,312
female,322b-2,"['solid', 'striped', 'blue']",0,111,task,0,211,,0,3,,322b,blue,circle,shape,1,1,7.7513,1,0,0,6,4,square,40,cloud,221
female,211-3,"['solid', 'striped', 'polka-dotted', 'blue', 'red']",0,231,task,0,312,,0,5,,211,striped,circle,shape,1,1,7.7513,1,0,0,6,5,square,2820,cloud,122
female,22b1-3,"['striped', 'polka-dotted', 'red', 'green']",1,222,task,0,132,,0,4,,22b1,polka-dotted,circle,shape,1,0,7.7513,0,0,1,6,6,square,27180,cloud,333
,,,,,,,,,,,0.7,,,,,,,7.7513,,,,6,,,,,
female,321-2,"['solid', 'blue', 'red', 'green']",0,311,task,1,112,,0,4,,321,red,circle,shape,1,0.95,7.7513,1,0,0,6,11,square,11780,cloud,313
female,22a2b-2b,"['solid', 'polka-dotted', 'blue', 'green']",1,211,task,1,233,,0,4,,22a2b,polka-dotted,circle,shape,1,0,7.7513,0,0,1,6,12,square,29010,cloud,333
female,22a2b-2a,"['solid', 'striped', 'blue', 'red']",1,211,task,1,221,,0,4,,22a2b,striped,circle,shape,1,0,7.7513,0,0,1,6,13,square,3710,cloud,322
female,211-3,"['solid', 'striped', 'polka-dotted', 'blue', 'green']",0,311,task,1,223,,0,5,,211,polka-dotted,circle,shape,1,1,7.7513,1,0,0,6,14,square,22570,cloud,133
,,,,,,,,,,,0.75,,,,,,,7.7513,,,,6,,,,,
female,211-3,"['solid', 'striped', 'polka-dotted', 'red', 'green']",1,332,task,2,213,,0,5,,211,polka-dotted,circle,shape,1,0,7.7513,0,0,0.8,6,19,square,15180,cloud,123
female,211-3,"['striped', 'polka-dotted', 'blue', 'red', 'green']",0.48148148148148145,321,task,2,222,,0,5,,211,green,circle,shape,1,0.7,7.7513,0.5185185185185185,0,0.65,6,20,square,21070,cloud,133
female,321-3,"['polka-dotted', 'blue', 'red']",0.5172413793103449,231,task,2,132,,0,3,,321,red,circle,shape,1,0.7,7.7513,0.48275862068965514,0,0.75,6,21,square,7920,cloud,332
female,322b-2,"['striped', 'polka-dotted', 'blue']",0.48387096774193544,121,task,2,321,,0,3,,322b,polka-dotted,circle,shape,1,0.8,7.7513,0.5161290322580645,0,0.75,6,22,square,330,cloud,131
,,,,,,,,,,,0.75,,,,,,,7.7513,,,,6,,,,,
female,321-2,"['square', 'blue', 'red', 'green']",0.12,321,task,0,332,,0.72,4,,321,square,striped,texture,2,0.2,3.1100833333333333,0.16,0.9,0.15,7,3,polka-dotted,27410,solid,333
female,311-3,"['cloud', 'circle', 'square', 'green']",0.04545454545454546,213,task,0,323,,0.6363636363636364,4,,311,green,striped,texture,2,0.35,3.1100833333333333,0.3181818181818182,0.7,0.05,7,4,polka-dotted,22961,solid,133
female,22a1-3,"['circle', 'square', 'blue', 'red']",0.04545454545454546,211,task,0,231,,0.6363636363636364,4,,22a1,blue,striped,texture,2,0.35,3.1100833333333333,0.3181818181818182,0.7,0.05,7,5,polka-dotted,3861,solid,322
female,322b-2,"['cloud', 'circle', 'green']",0.039999999999999994,123,task,0,133,,0.6399999999999999,3,,322b,green,striped,texture,2,0.4,3.1100833333333333,0.31999999999999995,0.8,0.05,7,6,polka-dotted,25971,solid,233
,,,,,,,,,,,0.35,,,,,,,3.1100833333333333,,,,7,,,,,
female,22a2b-2b,"['circle', 'square', 'blue', 'green']",0.15384615384615385,221,task,1,323,,0.5384615384615384,4,,22a2b,green,striped,texture,2,0.4,3.1100833333333333,0.3076923076923077,0.7,0.2,7,11,polka-dotted,28571,solid,333
female,22a1-3,"['cloud', 'square', 'blue', 'green']",0.08333333333333333,111,task,1,323,,0.5833333333333333,4,,22a1,green,striped,texture,2,0.4,3.1100833333333333,0.3333333333333333,0.7,0.1,7,12,polka-dotted,28531,solid,333
female,311-3,"['cloud', 'circle', 'square', 'green']",0.037037037037037035,213,task,1,323,,0.6666666666666666,4,,311,green,striped,texture,2,0.4,3.1100833333333333,0.2962962962962963,0.9,0.05,7,13,polka-dotted,22961,solid,133
female,22a1-3,"['cloud', 'square', 'blue', 'red']",0.03333333333333333,311,task,1,331,,0.6,4,,22a1,blue,striped,texture,2,0.55,3.1100833333333333,0.36666666666666664,0.9,0.05,7,14,polka-dotted,2501,solid,122
,,,,,,,,,,,0.65,,,,,,,3.1100833333333333,,,,7,,,,,
female,321-2,"['circle', 'blue', 'red', 'green']",0.24242424242424246,211,task,2,222,,0.5151515151515151,4,,321,circle,striped,texture,2,0.4,3.1100833333333333,0.24242424242424246,0.85,0.4,7,19,polka-dotted,16190,solid,223
female,22b1-3,"['cloud', 'square', 'red', 'green']",0.17142857142857143,112,task,2,332,,0.34285714285714286,4,,22b1,red,striped,texture,2,0.85,3.1100833333333333,0.4857142857142857,0.6,0.3,7,20,polka-dotted,19161,solid,323
female,22b1-3,"['cloud', 'circle', 'blue', 'green']",0.17142857142857143,211,task,2,223,,0.34285714285714286,4,,22b1,green,striped,texture,2,0.85,3.1100833333333333,0.4857142857142857,0.6,0.3,7,21,polka-dotted,22561,solid,133
female,22b1-2,"['circle', 'square', 'blue', 'red', 'green']",0.14705882352941177,211,task,2,222,,0.35294117647058826,5,,22b1,circle,striped,texture,2,0.85,3.1100833333333333,0.5,0.6,0.25,7,22,polka-dotted,18501,solid,323
,,,,,,,,,,,0.4,,,,,,,3.1100833333333333,,,,7,,,,,
female,22a1-3,"['cloud', 'circle', 'solid', 'polka-dotted']",0.3225806451612903,131,task,0,132,,0.48387096774193544,4,,22a1,cloud,red,color,3,0.3,7.41495,0.1935483870967742,0.75,0.5,8,3,green,10802,blue,213
female,22a2b-2b,"['circle', 'square', 'solid', 'striped']",0.3333333333333333,211,task,0,212,,0.6333333333333333,4,,22a2b,circle,red,color,3,0.05,7.41495,0.03333333333333333,0.95,0.5,8,4,green,4102,blue,322
female,22b2b-2,"['circle', 'square', 'solid', 'polka-dotted']",0.3333333333333333,211,task,0,331,,0.6666666666666666,4,,22b2b,solid,red,color,3,0,7.41495,0,1,0.5,8,5,green,1942,blue,312
female,22a1-3,"['cloud', 'circle', 'solid', 'polka-dotted']",0.4,231,task,0,112,,0.6,4,,22a1,cloud,red,color,3,0,7.41495,0,0.75,0.5,8,6,green,8592,blue,113
,,,,,,,,,,,0.35,,,,,,,7.41495,,,,8,,,,,
female,331-3,"['circle', 'blue']",0.2857142857142857,211,task,1,221,,0.2857142857142857,2,,331,blue,striped,texture,2,0.75,7.41495,0.42857142857142855,0.5,0.5,8,11,polka-dotted,420,solid,231
female,311-3,"['cloud', 'circle', 'square', 'green']",0.27027027027027023,113,task,1,323,,0.27027027027027023,4,,311,green,striped,texture,2,0.85,7.41495,0.45945945945945943,0.5,0.5,8,12,polka-dotted,25711,solid,233
female,22b2b-2,"['cloud', 'square', 'red', 'green']",0.16666666666666666,112,task,1,332,,0.2777777777777778,4,,22b2b,red,striped,texture,2,1,7.41495,0.5555555555555556,0.5,0.3,8,13,polka-dotted,21691,solid,133
female,321-2,"['circle', 'blue', 'red', 'green']",0.03225806451612903,231,task,1,232,,0.3225806451612903,4,,321,circle,striped,texture,2,1,7.41495,0.6451612903225806,0.5,0.05,8,14,polka-dotted,10960,solid,213
,,,,,,,,,,,0.65,,,,,,,7.41495,,,,8,,,,,
female,321-2,"['cloud', 'circle', 'square', 'solid']",0.1724137931034483,211,task,2,113,,0.3448275862068966,4,,321,solid,red,color,3,0.7,7.41495,0.48275862068965514,0.5,0.25,8,19,green,12941,blue,313
female,321-3,"['circle', 'striped', 'polka-dotted']",0.15625,231,task,2,232,,0.5,3,,321,circle,red,color,3,0.55,7.41495,0.34375,0.8,0.25,8,20,green,16671,blue,223
female,311-3,"['cloud', 'circle', 'square', 'striped']",0.14705882352941174,221,task,2,122,,0.5294117647058824,4,,311,striped,red,color,3,0.55,7.41495,0.3235294117647059,0.9,0.25,8,21,green,18411,blue,323
female,322b-2,"['square', 'solid', 'polka-dotted']",0.06451612903225806,311,task,2,331,,0.5806451612903225,3,,322b,polka-dotted,red,color,3,0.55,7.41495,0.3548387096774193,0.9,0.1,8,22,green,26301,blue,333
,,,,,,,,,,,0.8,,,,,,,7.41495,,,,8,,,,,
male,22b2b-2,"['striped', 'polka-dotted', 'blue', 'red']",0.5555555555555555,121,task,0,331,,0.2222222222222222,4,,22b2b,polka-dotted,circle,shape,1,0.3,9.3428,0.2222222222222222,0.3,0.75,9,3,square,4860,cloud,132
male,211-3,"['solid', 'striped', 'polka-dotted', 'blue', 'green']",0.46875,221,task,0,131,,0.34375,5,,211,blue,circle,shape,1,0.3,9.3428,0.18749999999999997,0.55,0.75,9,4,square,11590,cloud,313
male,22b2b-2,"['striped', 'polka-dotted', 'red', 'green']",0.46875,222,task,0,123,,0.34375,4,,22b2b,striped,circle,shape,1,0.3,9.3428,0.18749999999999997,0.55,0.75,9,5,square,25230,cloud,233
male,321-2,"['solid', 'blue', 'red', 'green']",0.48484848484848486,311,task,0,112,,0.3333333333333333,4,,321,solid,circle,shape,1,0.3,9.3428,0.1818181818181818,0.55,0.8,9,6,square,11780,cloud,313
,,,,,,,,,,,0.85,,,,,,,9.3428,,,,9,,,,,
male,22a2b-2a,"['solid', 'polka-dotted', 'blue', 'green']",0.29411764705882354,231,task,1,113,,0.4117647058823529,4,,22a2b,green,circle,shape,1,0.5,9.3428,0.29411764705882354,0.7,0.5,9,11,square,24600,cloud,233
male,331-3,"['striped', 'green']",0.29411764705882354,123,task,1,223,,0.4117647058823529,2,,331,striped,circle,shape,1,0.5,9.3428,0.29411764705882354,0.7,0.5,9,12,square,20230,cloud,323
male,321-3,"['solid', 'striped', 'red']",0.29411764705882354,212,task,1,312,,0.4117647058823529,3,,321,solid,circle,shape,1,0.5,9.3428,0.29411764705882354,0.7,0.5,9,13,square,2850,cloud,122
male,321-2,"['striped', 'blue', 'red', 'green']",0.19999999999999998,321,task,1,122,,0.4571428571428572,4,,321,striped,circle,shape,1,0.6,9.3428,0.34285714285714286,0.8,0.35,9,14,square,18420,cloud,323
,,,,,,,,,,,0.65,,,,,,,9.3428,,,,9,,,,,
male,22a2b-2a,"['solid', 'striped', 'red', 'green']",0.2777777777777778,112,task,2,113,,0.2777777777777778,4,,22a2b,green,circle,shape,1,0.8,9.3428,0.4444444444444445,0.5,0.5,9,19,square,19330,cloud,323
male,331-3,"['solid', 'red']",0.18918918918918917,112,task,2,212,,0.45945945945945943,2,,331,red,circle,shape,1,0.65,9.3428,0.35135135135135137,0.85,0.35,9,20,square,2190,cloud,312
