,workerid,item,slide_number,condition,language,pref1,response1,pref2,response2,pref3,response3,pref4,response4,pref5,response5,pref6,response6,pref7,response7,pref8,response8,pref9,response9,obj1,obj2,obj3,ambiguous,numFeatures,utterancecode
94,6,791,6,211212,English,striped,0.8,blue,0.7,circle,0.75,red,0.7,cloud,0.85,polka-dotted,0.65,,,,,,,131,221,222,True,6,22a2b
95,6,333,7,213211,English,circle,0.8,polka-dotted,0.7,square,0.85,blue,0.7,cloud,0.8,solid,0.85,,,,,,,231,331,111,True,6,321
96,6,632,8,112121,English,blue,0.9,solid,0.85,square,0.8,cloud,0.75,green,0.8,striped,0.65,circle,0.8,,,,,121,321,213,True,7,22a1
97,6,1669,9,121212,English,green,0.85,square,0.8,solid,0.75,striped,0.8,red,0.7,cloud,0.7,,,,,,,123,312,312,False,6,22a2a
98,6,2269,10,213232,English,striped,0.8,cloud,0.7,polka-dotted,0.75,red,0.8,,,,,,,,,,,122,122,132,True,4,332
99,6,945,11,212121,English,square,0.8,red,0.75,cloud,0.7,striped,0.8,blue,0.65,solid,0.8,,,,,,,311,311,122,False,6,22a2a
100,6,101,12,212111,English,polka-dotted,0.9,striped,0.85,green,0.7,blue,0.75,square,0.8,cloud,0.7,circle,0.8,,,,,323,123,231,True,7,22a1
101,6,2179,13,121111,English,blue,0.85,red,0.8,circle,0.9,polka-dotted,0.8,green,0.9,square,0.75,cloud,0.75,solid,0.75,,,313,232,131,True,8,211
102,6,1654,14,121212,English,polka-dotted,0.8,green,0.8,circle,0.85,solid,0.95,cloud,0.85,blue,0.8,,,,,,,131,213,213,False,6,22a2a
103,6,1975,15,323232,English,polka-dotted,0.85,circle,0.65,green,0.9,,,,,,,,,,,,,233,233,233,False,3,333
104,6,1245,16,112112,English,polka-dotted,0.9,striped,0.9,cloud,0.8,solid,0.85,green,0.7,square,0.75,blue,0.85,,,,,123,333,311,True,7,22b1
105,6,915,17,212121,English,square,1.0,blue,0.75,striped,0.8,solid,0.85,green,0.7,cloud,0.75,,,,,,,113,113,321,False,6,22a2a
106,7,1538,3,322112,English,circle,0.05,green,0.8,red,0.6,solid,0.6,striped,0.6,,,,,,,,,223,222,212,True,5,322b
107,7,521,4,112132,English,polka-dotted,1.0,red,1.0,solid,0.95,striped,1.0,blue,0.75,square,0.1,,,,,,,331,321,312,True,6,321
108,7,1961,5,323232,English,green,0.7,solid,0.7,square,0.7,,,,,,,,,,,,,313,313,313,False,3,333
109,7,1657,6,121212,English,cloud,0.95,polka-dotted,0.6,red,1.0,circle,0.65,solid,0.9,green,0.7,,,,,,,112,233,233,False,6,22a2a
110,7,2037,7,322122,English,red,0.9,square,0.95,circle,0.65,green,0.65,solid,0.2,,,,,,,,,213,212,313,True,5,322b
111,7,914,8,212121,English,polka-dotted,0.95,green,0.65,striped,0.65,blue,1.0,circle,0.6,square,0.9,,,,,,,223,223,331,False,6,22a2a
112,7,933,9,212121,English,cloud,0.6,blue,1.0,square,1.0,solid,0.95,striped,0.6,green,0.6,,,,,,,123,123,311,False,6,22a2a
113,7,1478,10,123211,English,circle,0.95,green,0.95,polka-dotted,0.2,blue,0.95,red,0.95,cloud,0.65,,,,,,,233,131,132,True,6,321
114,7,1103,11,321212,English,solid,0.95,blue,0.65,red,1.0,circle,0.3,striped,0.75,,,,,,,,,212,221,221,True,5,322a
115,7,756,12,211212,English,polka-dotted,0.75,red,0.75,green,0.95,square,0.75,striped,0.95,circle,1.0,,,,,,,222,332,333,True,6,22a2b
116,7,1866,13,123212,English,solid,0.9,green,0.3,square,0.8,circle,0.95,striped,0.95,,,,,,,,,223,313,313,True,5,322a
117,7,1043,14,212212,English,cloud,0.7,circle,0.95,green,0.95,solid,0.85,red,0.85,polka-dotted,0.95,,,,,,,212,132,113,True,6,22b2b
118,7,1668,15,121212,English,cloud,0.95,striped,1.0,blue,0.6,green,0.95,circle,0.6,solid,0.6,,,,,,,123,211,211,False,6,22a2a
119,7,825,16,112111,English,circle,1.0,striped,1.0,square,0.95,solid,0.95,polka-dotted,1.0,red,0.95,blue,0.65,cloud,0.95,,,131,221,312,True,8,211
120,7,816,17,112111,English,striped,0.95,polka-dotted,0.95,green,0.65,red,1.0,cloud,1.0,circle,0.95,square,0.95,solid,0.95,,,213,123,332,True,8,211
136,9,489,3,211111,English,square,0.2,red,0.65,blue,0.5,polka-dotted,0.15,solid,0.6,striped,0.8,circle,0.25,cloud,0.75,,,311,121,232,True,8,211
137,9,2249,4,323211,English,solid,0.25,cloud,0.65,circle,0.6,red,0.25,square,0.1,,,,,,,,,112,212,312,True,5,331
138,9,312,5,213211,English,polka-dotted,0.85,cloud,0.75,solid,0.25,circle,0.8,blue,0.55,striped,0.15,,,,,,,121,131,211,True,6,321
139,9,1664,6,121212,English,cloud,0.55,blue,0.25,green,0.85,square,0.7,striped,0.5,solid,0.1,,,,,,,321,113,113,False,6,22a2a
140,9,1688,7,121212,English,red,0.25,circle,0.75,cloud,0.15,striped,0.9,polka-dotted,0.75,blue,0.45,,,,,,,232,121,121,False,6,22a2a
141,9,1270,8,111111,English,circle,0.75,polka-dotted,0.7,red,0.25,solid,0.9,striped,0.6,square,0.1,cloud,0.9,green,0.85,blue,0.3,332,111,223,False,9,111
142,9,535,9,112132,English,red,0.1,square,0.8,blue,0.8,green,0.9,striped,0.3,polka-dotted,0.3,,,,,,,322,321,333,True,6,321
143,9,679,10,212211,English,solid,0.85,square,0.15,red,0.7,circle,0.6,polka-dotted,0.1,blue,0.65,striped,0.35,,,,,232,312,221,True,7,22b1
144,9,1972,11,323232,English,blue,0.25,cloud,0.15,polka-dotted,0.9,,,,,,,,,,,,,131,131,131,False,3,333
145,9,1752,12,322132,English,cloud,0.2,polka-dotted,0.95,red,0.75,circle,0.5,,,,,,,,,,,132,132,232,True,4,332
146,9,1676,13,121212,English,circle,0.35,solid,0.2,blue,0.75,square,0.5,striped,0.25,red,0.9,,,,,,,222,311,311,False,6,22a2a
147,9,569,14,213212,English,cloud,0.85,green,0.55,blue,0.75,polka-dotted,0.05,striped,0.3,,,,,,,,,123,133,131,True,5,322b
148,9,2255,15,213232,English,square,0.15,solid,0.65,blue,0.3,green,0.75,,,,,,,,,,,311,311,313,True,4,332
149,9,1017,16,212212,English,solid,0.45,square,0.1,cloud,0.75,polka-dotted,0.55,red,0.95,green,0.15,,,,,,,313,332,112,True,6,22b2b
150,9,1813,17,122121,English,square,0.8,red,0.4,striped,0.75,green,0.75,polka-dotted,0.15,circle,0.9,,,,,,,223,323,332,True,6,22a2b
151,10,2222,3,323211,English,square,0.0,solid,0.6,green,0.0,striped,1.0,polka-dotted,0.75,,,,,,,,,323,333,313,True,5,331
152,10,926,4,212121,English,cloud,0.0,red,0.6,blue,0.8,striped,0.8,solid,0.6,square,1.0,,,,,,,112,112,321,False,6,22a2a
153,10,156,5,323212,English,circle,0.0,polka-dotted,0.7,red,0.0,solid,1.0,,,,,,,,,,,212,232,232,True,4,332
154,10,1379,6,113211,English,blue,0.8,green,0.8,circle,0.8,cloud,0.8,red,0.8,solid,0.0,square,0.8,,,,,311,113,212,True,7,311
155,10,1873,7,123212,English,square,0.0,solid,0.6,polka-dotted,0.6,blue,0.95,red,0.6,,,,,,,,,331,312,312,True,5,322a
156,10,1454,8,123211,English,striped,0.75,solid,0.75,polka-dotted,0.75,square,0.0,green,1.0,blue,0.3,,,,,,,323,331,311,True,6,321
157,10,2000,9,323232,English,striped,0.0,blue,0.0,circle,0.0,,,,,,,,,,,,,221,221,221,False,3,333
158,10,1281,10,111111,English,solid,0.8,blue,0.8,circle,0.8,red,0.8,cloud,0.8,square,0.8,polka-dotted,0.8,green,0.8,striped,0.8,332,223,111,False,9,111
159,10,1660,11,121212,English,cloud,0.75,green,0.75,square,0.3,red,0.3,solid,0.6,striped,0.3,,,,,,,113,322,322,False,6,22a2a
160,10,2174,12,121111,English,solid,0.8,polka-dotted,0.8,cloud,0.8,red,0.8,green,0.8,circle,0.8,square,0.8,blue,0.8,,,233,112,311,True,8,211
161,10,128,13,212111,English,solid,0.35,circle,0.7,square,0.7,blue,0.7,striped,0.7,cloud,0.7,red,0.35,,,,,312,212,121,True,7,22a1
162,10,425,14,321112,English,green,0.75,polka-dotted,0.75,solid,0.75,square,0.0,striped,0.75,blue,0.35,,,,,,,323,331,311,True,6,321
163,10,1984,15,323232,English,solid,0.0,green,0.0,circle,0.0,,,,,,,,,,,,,213,213,213,False,3,333
164,10,1205,16,112112,English,solid,0.7,circle,0.7,green,0.7,red,0.7,square,0.7,polka-dotted,0.7,blue,0.7,,,,,311,212,233,True,7,22b1
165,10,165,17,323212,English,square,0.0,striped,1.0,polka-dotted,0.55,red,0.0,,,,,,,,,,,322,332,332,True,4,332
166,11,1983,3,323232,English,polka-dotted,0.5,blue,0.5,cloud,0.5,,,,,,,,,,,,,131,131,131,False,3,333
167,11,1941,4,111212,English,blue,1.0,red,0.0,polka-dotted,1.0,circle,0.0,striped,1.0,solid,1.0,cloud,1.0,,,,,111,232,222,True,7,22a1
168,11,2324,5,123232,English,square,1.0,cloud,0.0,polka-dotted,0.0,green,0.0,,,,,,,,,,,333,133,133,True,4,332
169,11,2238,6,323211,English,solid,0.7,circle,0.0,polka-dotted,0.7,striped,0.7,blue,0.0,,,,,,,,,221,231,211,True,5,331
170,11,1666,7,121212,English,green,0.0,circle,0.0,polka-dotted,0.5,square,1.0,solid,1.0,red,1.0,,,,,,,312,233,233,False,6,22a2a
171,11,918,8,212121,English,polka-dotted,0.8,square,0.0,blue,0.8,striped,0.0,green,0.0,cloud,0.8,,,,,,,323,323,131,False,6,22a2a
172,11,1768,9,322132,English,red,0.0,solid,0.5,polka-dotted,0.8,square,0.0,,,,,,,,,,,312,312,332,True,4,332
173,11,1951,10,323232,English,polka-dotted,0.4,circle,0.4,green,0.4,,,,,,,,,,,,,233,233,233,False,3,333
174,11,1788,11,322132,English,square,0.25,striped,0.0,green,0.0,cloud,0.8,,,,,,,,,,,323,323,123,True,4,332
175,11,523,12,112132,English,circle,0.75,red,0.0,polka-dotted,0.75,cloud,0.75,square,0.75,solid,0.0,,,,,,,212,112,332,True,6,321
176,11,2007,13,322122,English,solid,0.7,cloud,0.0,green,0.0,striped,0.3,circle,0.7,,,,,,,,,123,113,223,True,5,322b
177,11,420,14,321112,English,square,0.75,circle,0.75,striped,0.0,blue,0.0,green,0.75,cloud,0.75,,,,,,,323,121,221,True,6,321
178,11,601,15,112121,English,striped,0.8,square,0.8,solid,0.8,blue,0.8,polka-dotted,0.8,cloud,0.0,green,0.0,,,,,123,133,311,True,7,22a1
179,11,135,16,212111,English,cloud,0.0,polka-dotted,0.0,blue,0.85,square,0.85,solid,0.85,red,0.85,green,0.85,,,,,133,132,311,True,7,22a1
180,11,1996,17,323232,English,square,0.3,red,0.3,polka-dotted,0.3,,,,,,,,,,,,,332,332,332,False,3,333
181,12,384,3,122132,English,green,1.0,cloud,0.65,circle,0.35,solid,0.35,polka-dotted,0.65,,,,,,,,,233,133,113,True,5,322b
182,12,1959,4,323232,English,polka-dotted,1.0,square,1.0,red,1.0,,,,,,,,,,,,,332,332,332,False,3,333
183,12,1976,5,323232,English,blue,1.0,polka-dotted,1.0,square,1.0,,,,,,,,,,,,,331,331,331,False,3,333
184,12,1866,6,123212,English,striped,0.3,circle,0.3,green,1.0,square,0.7,solid,0.7,,,,,,,,,223,313,313,True,5,322a
185,12,944,7,212121,English,striped,0.3,polka-dotted,0.65,blue,0.65,circle,0.3,red,0.3,square,0.65,,,,,,,331,331,222,False,6,22a2a
186,12,1904,8,111212,English,solid,0.25,green,0.7,cloud,0.25,blue,0.25,circle,0.25,square,0.25,polka-dotted,0.7,,,,,111,233,333,True,7,22a1
187,12,1749,9,212112,English,square,0.65,circle,0.3,striped,0.65,polka-dotted,0.3,blue,0.3,green,0.65,,,,,,,223,323,331,True,6,22a2b
188,12,291,10,212222,English,solid,0.3,striped,0.7,circle,0.3,square,0.7,red,0.3,blue,0.7,,,,,,,321,312,221,True,6,22a2b
189,12,586,11,213212,English,striped,0.3,blue,0.7,red,0.3,polka-dotted,0.7,square,1.0,,,,,,,,,332,331,321,True,5,322b
190,12,1890,12,123212,English,green,0.65,solid,0.3,polka-dotted,0.65,blue,0.3,circle,1.0,,,,,,,,,211,233,233,True,5,322a
191,12,1672,13,121212,English,striped,0.25,cloud,0.65,polka-dotted,0.65,circle,0.25,red,0.65,green,0.25,,,,,,,223,132,132,False,6,22a2a
192,12,1305,14,122122,English,polka-dotted,0.7,cloud,0.25,square,0.7,blue,0.25,green,0.7,striped,0.25,,,,,,,323,331,133,True,6,22b2b
193,12,423,15,321112,English,striped,0.3,blue,0.7,polka-dotted,0.3,solid,0.3,green,0.3,circle,1.0,,,,,,,213,231,221,True,6,321
194,12,1553,16,322121,English,square,0.7,blue,1.0,cloud,0.3,striped,0.3,polka-dotted,0.7,,,,,,,,,331,331,121,True,5,322a
195,12,1655,17,121212,English,polka-dotted,0.7,striped,0.25,blue,0.7,cloud,0.7,circle,0.25,red,0.25,,,,,,,222,131,131,False,6,22a2a
196,13,1973,3,323232,English,green,1.0,striped,1.0,circle,1.0,,,,,,,,,,,,,223,223,223,False,3,333
197,13,1692,4,121212,English,striped,1.0,polka-dotted,0.0,circle,1.0,blue,1.0,square,0.0,green,0.0,,,,,,,221,333,333,False,6,22a2a
198,13,433,5,321112,English,solid,1.0,cloud,1.0,green,1.0,red,0.0,striped,0.0,polka-dotted,0.0,,,,,,,132,123,113,True,6,321
199,13,958,6,121112,English,blue,1.0,square,0.0,solid,1.0,red,0.0,polka-dotted,0.0,cloud,0.0,circle,1.0,,,,,332,211,111,True,7,22a1
200,13,1967,7,323232,English,solid,1.0,cloud,1.0,green,1.0,,,,,,,,,,,,,113,113,113,False,3,333
201,13,1981,8,323232,English,blue,1.0,circle,1.0,solid,1.0,,,,,,,,,,,,,211,211,211,False,3,333
202,13,1063,9,113212,English,solid,1.0,green,0.0,striped,0.0,blue,1.0,cloud,1.0,polka-dotted,0.0,,,,,,,111,123,133,True,6,321
203,13,894,10,112122,English,solid,0.95,red,0.0,square,0.0,polka-dotted,0.0,blue,1.0,cloud,0.0,circle,1.0,,,,,131,332,211,True,7,22b1
204,13,452,11,211111,English,polka-dotted,1.0,blue,1.0,square,0.0,solid,0.0,red,0.0,green,0.0,circle,1.0,cloud,0.0,,,313,112,231,True,8,211
205,13,1633,12,211112,English,red,1.0,striped,0.0,solid,1.0,blue,0.0,circle,0.0,square,1.0,green,0.0,,,,,312,211,223,True,7,22b1
206,13,2058,13,321111,English,square,1.0,solid,0.0,red,1.0,polka-dotted,0.0,circle,0.0,striped,1.0,cloud,0.0,,,,,322,212,132,True,7,311
207,13,1282,14,111111,English,striped,1.0,solid,0.0,circle,1.0,square,0.0,cloud,0.0,green,0.0,red,0.0,blue,1.0,polka-dotted,0.0,332,221,113,False,9,111
208,13,2091,15,321111,English,red,1.0,polka-dotted,1.0,striped,0.0,green,0.0,square,1.0,solid,0.0,blue,0.0,,,,,311,323,332,True,7,311
209,13,889,16,112122,English,square,0.0,polka-dotted,1.0,circle,1.0,striped,0.0,red,1.0,green,0.0,cloud,0.0,,,,,333,232,123,True,7,22b1
210,13,1117,17,321212,English,cloud,1.0,green,1.0,red,0.0,polka-dotted,1.0,solid,0.0,,,,,,,,,133,112,112,True,5,322a
211,14,1250,3,112112,ENGLISH,green,0.65,blue,0.6,red,0.75,square,0.85,cloud,0.75,striped,0.45,polka-dotted,0.5,,,,,321,332,133,True,7,22b1
212,14,1959,4,323232,ENGLISH,polka-dotted,0.8,square,0.9,red,0.65,,,,,,,,,,,,,332,332,332,False,3,333
213,14,2197,5,121111,ENGLISH,square,0.5,cloud,0.4,blue,0.65,striped,0.15,circle,0.55,green,0.6,polka-dotted,0.4,red,0.75,,,132,323,221,True,8,211
214,14,1322,6,122122,ENGLISH,cloud,0.6,circle,0.35,polka-dotted,0.75,red,0.7,green,0.75,solid,0.7,,,,,,,232,133,112,True,6,22b2b
215,14,1286,7,111111,ENGLISH,square,0.75,circle,0.65,polka-dotted,0.85,blue,0.65,solid,0.85,striped,0.2,green,0.6,red,0.25,cloud,0.6,211,122,333,False,9,111
216,14,816,8,112111,ENGLISH,red,0.7,cloud,0.45,circle,0.65,solid,0.3,polka-dotted,0.15,square,0.05,striped,0.0,green,0.0,,,213,123,332,True,8,211
217,14,1758,9,322132,ENGLISH,red,0.2,solid,0.2,square,0.7,polka-dotted,0.6,,,,,,,,,,,312,312,332,True,4,332
218,14,1309,10,122122,ENGLISH,solid,0.3,square,0.7,circle,0.85,striped,0.4,green,0.1,red,0.95,,,,,,,212,223,322,True,6,22b2b
219,14,467,11,211111,ENGLISH,striped,0.7,blue,0.3,square,0.65,red,0.2,polka-dotted,0.6,solid,0.45,cloud,0.3,circle,0.75,,,232,112,321,True,8,211
220,14,1838,12,122121,ENGLISH,striped,0.2,cloud,0.7,green,0.4,polka-dotted,0.75,square,0.35,red,0.6,,,,,,,323,333,132,True,6,22a2b
221,14,1951,13,323232,ENGLISH,circle,0.7,polka-dotted,0.3,green,0.6,,,,,,,,,,,,,233,233,233,False,3,333
222,14,1469,14,123211,ENGLISH,solid,0.35,striped,0.65,red,0.65,polka-dotted,0.7,square,0.85,blue,0.55,,,,,,,311,322,332,True,6,321
223,14,1293,15,111111,ENGLISH,cloud,0.55,polka-dotted,0.4,green,0.55,circle,0.35,striped,0.65,square,0.25,solid,0.8,blue,0.9,red,1.0,322,233,111,False,9,111
224,14,948,16,212121,ENGLISH,solid,0.9,blue,0.95,cloud,1.0,striped,1.0,red,0.95,square,0.95,,,,,,,322,322,111,False,6,22a2a
225,14,1208,17,112112,ENGLISH,striped,0.9,circle,1.0,green,1.0,polka-dotted,1.0,blue,0.85,square,0.85,cloud,0.9,,,,,321,223,133,True,7,22b1
226,15,2077,3,321111,english,cloud,0.85,striped,0.95,green,0.8,polka-dotted,0.9,blue,0.75,red,1.0,solid,0.8,,,,,113,121,132,True,7,311
