targetUttCode,pref3,pref1,response0,name,item,blockNr,Answer.time_in_minutes,slide_number,workerid,targetFeature,featuresPresent,numFeatures,normResponse1,normResponse2,trial_type,normResponse0,sex,targetFeatureNum,response2,pref2,utterance,certainty,obj3,obj1,response1,obj2,uttCode
311-3,square,cloud,1,,6370,2,4.811683333333334,22,0,shape,"['solid', 'striped', 'polka-dotted', 'red']",4,0.07142857142857142,0.21428571428571425,task,0.7142857142857142,male,1,0.3,circle,red,,232,312,0.1,122,311
,,,,,,,4.811683333333334,,0,,,,,,,,,,,,,0.75,,,,,
311-3,square,cloud,0,,310,0,7.469233333333333,3,1,shape,"['solid', 'striped', 'polka-dotted', 'blue']",4,0,1,task,0,female,1,1,circle,striped,,131,211,0,321,311
321-3,square,cloud,0,,7920,0,7.469233333333333,4,1,shape,"['polka-dotted', 'blue', 'red']",3,1,0,task,0,female,1,0,circle,blue,,332,231,1,132,321
22a2b-2b,square,cloud,0,,29010,0,7.469233333333333,5,1,shape,"['solid', 'polka-dotted', 'blue', 'green']",4,1,0,task,0,female,1,0,circle,blue,,333,211,1,233,22a2b
22b1-2,square,cloud,0,,18200,0,7.469233333333333,6,1,shape,"['solid', 'striped', 'blue', 'red', 'green']",5,1,0,task,0,female,1,0,circle,solid,,323,221,1,212,22b1
,,,,,,,7.469233333333333,,1,,,,,,,,,,,,,0.75,,,,,
311-3,square,cloud,0,,10070,1,7.469233333333333,11,1,shape,"['solid', 'blue', 'red', 'green']",4,0,1,task,0,female,1,1,circle,blue,,213,311,0,112,311
22b2b-2,square,cloud,0,,25000,1,7.469233333333333,12,1,shape,"['solid', 'polka-dotted', 'red', 'green']",4,0,1,task,0,female,1,1,circle,solid,,233,212,0,313,22b2b
22b1-2,square,cloud,0,,18200,1,7.469233333333333,13,1,shape,"['solid', 'striped', 'blue', 'red', 'green']",5,0,1,task,0,female,1,1,circle,green,,323,221,0,212,22b1
311-3,square,cloud,0,,24420,1,7.469233333333333,14,1,shape,"['polka-dotted', 'blue', 'red', 'green']",4,,,task,,female,1,0,circle,blue,,233,131,0,332,311
,,,,,,,7.469233333333333,,1,,,,,,,,,,,,,0.75,,,,,
22b1-2,green,blue,0,,5482,2,7.469233333333333,19,1,color,"['cloud', 'square', 'solid', 'striped', 'polka-dotted']",5,1,0,task,0,female,3,0,red,cloud,,132,311,1,322,22b1
22a2b-2b,green,blue,0.1,,20412,2,7.469233333333333,20,1,color,"['cloud', 'square', 'solid', 'polka-dotted']",4,0.2857142857142857,0.6190476190476191,task,0.09523809523809523,female,3,0.65,red,polka-dotted,,133,311,0.3,131,22a2b
22a2b-2b,green,blue,0.1,,11482,2,7.469233333333333,21,1,color,"['circle', 'square', 'solid', 'striped']",4,0.10526315789473685,0.7894736842105263,task,0.10526315789473685,female,3,0.75,red,square,,313,311,0.1,221,22a2b
311-3,green,blue,0.1,,12811,2,7.469233333333333,22,1,color,"['square', 'solid', 'striped', 'polka-dotted']",4,0.10526315789473685,0.7894736842105263,task,0.10526315789473685,female,3,0.75,red,solid,,313,321,0.1,332,311
,,,,,,,7.469233333333333,,1,,,,,,,,,,,,,0.5,,,,,
22b1-2,polka-dotted,solid,0.35,,15121,0,4.651966666666667,3,2,texture,"['cloud', 'circle', 'square', 'red', 'green']",5,0.46666666666666673,0.30000000000000004,task,0.23333333333333336,male,2,0.45,striped,green,,123,312,0.7,213,22b1
22a2b-2b,polka-dotted,solid,0.5,,9631,0,4.651966666666667,4,2,texture,"['cloud', 'square', 'red', 'green']",4,0.3333333333333333,0.3333333333333333,task,0.3333333333333333,male,2,0.5,striped,cloud,,113,312,0.5,332,22a2b
22b1-2,polka-dotted,solid,0.2,,14421,0,4.651966666666667,5,2,texture,"['cloud', 'circle', 'blue', 'red', 'green']",5,0.576923076923077,0.2692307692307693,task,0.15384615384615388,male,2,0.35,striped,cloud,,123,231,0.75,132,22b1
22a2b-2a,polka-dotted,solid,0.15,,19221,0,4.651966666666667,6,2,texture,"['cloud', 'square', 'red', 'green']",4,0.7083333333333334,0.16666666666666669,task,0.125,male,2,0.2,striped,square,,323,132,0.85,332,22a2b
,,,,,,,4.651966666666667,,2,,,,,,,,,,,,,0.8,,,,,
321-3,square,cloud,0.6,,11400,1,4.651966666666667,11,2,shape,"['solid', 'blue', 'green']",3,0.2903225806451613,0.3225806451612903,task,0.3870967741935484,male,1,0.5,circle,blue,,313,111,0.45,211,321
311-3,square,cloud,0.85,,24420,1,4.651966666666667,12,2,shape,"['polka-dotted', 'blue', 'red', 'green']",4,0.2571428571428572,0.2571428571428572,task,0.4857142857142857,male,1,0.45,circle,polka-dotted,,233,131,0.45,332,311
211-3,square,cloud,1,,18800,1,4.651966666666667,13,2,shape,"['striped', 'polka-dotted', 'blue', 'red', 'green']",5,0.3684210526315789,0.10526315789473685,task,0.5263157894736842,male,1,0.2,circle,striped,,323,221,0.7,132,211
22b1-2,square,cloud,1,,8670,1,4.651966666666667,14,2,shape,"['solid', 'polka-dotted', 'blue', 'red', 'green']",5,0.3684210526315789,0.10526315789473685,task,0.5263157894736842,male,1,0.2,circle,green,,113,131,0.7,212,22b1
,,,,,,,4.651966666666667,,2,,,,,,,,,,,,,0.9,,,,,
22a1-3,green,blue,0.5,,12622,2,4.651966666666667,19,2,color,"['circle', 'square', 'solid', 'polka-dotted']",4,0.27027027027027023,0.45945945945945943,task,0.27027027027027023,male,3,0.85,red,square,,313,311,0.5,232,22a1
331-3,green,blue,0.5,,13990,2,4.651966666666667,20,2,color,"['cloud', 'striped']",2,0.25,0.5,task,0.25,male,3,1,red,cloud,,123,121,0.5,122,331
321-3,green,blue,0.5,,21291,2,4.651966666666667,21,2,color,"['cloud', 'solid', 'polka-dotted']",3,0.25,0.5,task,0.25,male,3,1,red,polka-dotted,,133,111,0.5,132,321
331-3,green,blue,0.5,,8520,2,4.651966666666667,22,2,color,"['cloud', 'solid']",2,0.25,0.5,task,0.25,male,3,1,red,cloud,,113,111,0.5,112,331
,,,,,,,4.651966666666667,,2,,,,,,,,,,,,,0.8,,,,,
22b2b-2,polka-dotted,solid,1,,3951,0,9.556933333333333,3,3,texture,"['cloud', 'square', 'blue', 'red']",4,0,0.3333333333333333,task,0.6666666666666666,male,2,0.5,striped,blue,,322,121,0,331,22b2b
311-3,polka-dotted,solid,1,,25301,0,9.556933333333333,4,3,texture,"['cloud', 'circle', 'square', 'green']",4,0,0,task,1,male,2,0,striped,green,,233,313,0,123,311
321-3,polka-dotted,solid,1,,17270,0,9.556933333333333,5,3,texture,"['circle', 'red', 'green']",3,0,0,task,1,male,2,0,striped,circle,,223,232,0,213,321
331-3,polka-dotted,solid,1,,7820,0,9.556933333333333,6,3,texture,"['square', 'red']",2,0,0,task,1,male,2,0,striped,square,,332,312,0,322,331
,,,,,,,9.556933333333333,,3,,,,,,,,,,,,,1,,,,,
331-3,square,cloud,0,,190,1,9.556933333333333,11,3,shape,"['striped', 'blue']",2,0,1,task,0,male,1,1,circle,blue,,321,121,0,221,331
22b1-2,square,cloud,0,,10970,1,9.556933333333333,12,3,shape,"['solid', 'polka-dotted', 'blue', 'red', 'green']",5,0,1,task,0,male,1,1,circle,polka-dotted,,213,331,0,232,22b1
211-3,square,cloud,0,,21640,1,9.556933333333333,13,3,shape,"['striped', 'polka-dotted', 'blue', 'red', 'green']",5,0,1,task,0,male,1,1,circle,polka-dotted,,133,221,0,332,211
311-3,square,cloud,0.15,,24420,1,9.556933333333333,14,3,shape,"['polka-dotted', 'blue', 'red', 'green']",4,0,0.8695652173913044,task,0.13043478260869565,male,1,1,circle,polka-dotted,,233,131,0,332,311
,,,,,,,9.556933333333333,,3,,,,,,,,,,,,,1,,,,,
322b-2,green,blue,1,,9691,2,9.556933333333333,19,3,color,"['cloud', 'circle', 'solid']",3,0.2368421052631579,0.2368421052631579,task,0.5263157894736842,male,3,0.45,red,solid,,213,111,0.45,211,322b
321-3,green,blue,0.95,,16211,2,9.556933333333333,20,3,color,"['cloud', 'circle', 'striped']",3,0,0.32142857142857145,task,0.6785714285714286,male,3,0.45,red,circle,,223,121,0,222,321
22b2b-2,green,blue,0.95,,25232,2,9.556933333333333,21,3,color,"['cloud', 'circle', 'striped', 'polka-dotted']",4,0,0.32142857142857145,task,0.6785714285714286,male,3,0.45,red,circle,,233,222,0,123,22b2b
22a2b-2b,green,blue,0.95,,17432,2,9.556933333333333,22,3,color,"['circle', 'square', 'solid', 'striped']",4,0,0.32142857142857145,task,0.6785714285714286,male,3,0.45,red,striped,,223,222,0,313,22a2b
,,,,,,,9.556933333333333,,3,,,,,,,,,,,,,0.45,,,,,
22b1-3,polka-dotted,solid,0.8,,22561,0,13.491633333333333,3,4,texture,"['cloud', 'circle', 'blue', 'green']",4,0.18749999999999997,0.3125,task,0.5,male,2,0.5,striped,circle,,133,211,0.3,223,22b1
22b1-2,polka-dotted,solid,0.8,,22241,0,13.491633333333333,4,4,texture,"['cloud', 'circle', 'square', 'red', 'green']",5,0.1923076923076923,0.1923076923076923,task,0.6153846153846154,male,2,0.25,striped,green,,133,212,0.25,313,22b1
321-2,polka-dotted,solid,1,,8850,0,13.491633333333333,5,4,texture,"['cloud', 'blue', 'red', 'green']",4,0.2647058823529412,0.14705882352941177,task,0.5882352941176471,male,2,0.25,striped,cloud,,113,121,0.45,122,321
211-3,polka-dotted,solid,1,,2821,0,13.491633333333333,6,4,texture,"['cloud', 'circle', 'square', 'blue', 'red']",5,0.34210526315789475,0.13157894736842105,task,0.5263157894736842,male,2,0.25,striped,red,,122,231,0.65,312,211
,,,,,,,13.491633333333333,,4,,,,,,,,,,,,,0.65,,,,,
322b-2,square,cloud,0.5,,16440,1,13.491633333333333,11,4,shape,"['striped', 'red', 'green']",3,0.38095238095238093,0.38095238095238093,task,0.23809523809523808,male,1,0.8,circle,striped,,223,222,0.8,322,322b
22b1-3,square,cloud,0.8,,27180,1,13.491633333333333,12,4,shape,"['striped', 'polka-dotted', 'red', 'green']",4,0.3333333333333333,0.3333333333333333,task,0.3333333333333333,male,1,0.8,circle,red,,333,222,0.8,132,22b1
322b-2,square,cloud,0.8,,2740,1,13.491633333333333,13,4,shape,"['solid', 'striped', 'red']",3,0.21951219512195125,0.39024390243902446,task,0.39024390243902446,male,1,0.8,circle,solid,,122,112,0.45,212,322b
322b-2,square,cloud,0.2,,40,1,13.491633333333333,14,4,shape,"['solid', 'striped', 'blue']",3,0.31034482758620685,0.5517241379310345,task,0.13793103448275862,male,1,0.8,circle,blue,,221,111,0.45,211,322b
,,,,,,,13.491633333333333,,4,,,,,,,,,,,,,0.45,,,,,
322b-2,green,blue,0.8,,27921,2,13.491633333333333,19,4,color,"['square', 'solid', 'polka-dotted']",3,0.23809523809523808,0.38095238095238093,task,0.38095238095238093,male,3,0.8,red,solid,,333,311,0.5,313,322b
22a1-3,green,blue,0.8,,24222,2,13.491633333333333,20,4,color,"['circle', 'square', 'solid', 'polka-dotted']",4,0.346938775510204,0.32653061224489793,task,0.32653061224489793,male,3,0.8,red,circle,,233,311,0.85,232,22a1
22a2b-2a,green,blue,0.45,,17892,2,13.491633333333333,21,4,color,"['cloud', 'square', 'striped', 'polka-dotted']",4,0.4047619047619047,0.38095238095238093,task,0.21428571428571427,male,3,0.8,red,striped,,323,121,0.85,131,22a2b
22b1-3,green,blue,0.45,,16632,2,13.491633333333333,22,4,color,"['cloud', 'circle', 'striped', 'polka-dotted']",4,0.39024390243902446,0.39024390243902446,task,0.21951219512195125,male,3,0.8,red,circle,,223,121,0.8,232,22b1
,,,,,,,13.491633333333333,,4,,,,,,,,,,,,,0.3,,,,,
321-2,polka-dotted,solid,0.9,,7951,0,3.2003,3,5,texture,"['cloud', 'circle', 'square', 'red']",4,0.07142857142857144,0.28571428571428575,task,0.6428571428571429,male,2,0.4,striped,circle,,332,212,0.1,132,321
22a2b-2b,polka-dotted,solid,0.9,,21941,0,3.2003,4,5,texture,"['cloud', 'square', 'red', 'green']",4,0.07142857142857144,0.28571428571428575,task,0.6428571428571429,male,2,0.4,striped,cloud,,133,332,0.1,113,22a2b
321-3,polka-dotted,solid,0.9,,6611,0,3.2003,5,5,texture,"['circle', 'square', 'red']",3,0.08,0.2,task,0.72,male,2,0.25,striped,circle,,232,212,0.1,322,321
311-3,polka-dotted,solid,0.3,,22961,0,3.2003,6,5,texture,"['cloud', 'circle', 'square', 'green']",4,0.6071428571428572,0.17857142857142858,task,0.2142857142857143,male,2,0.25,striped,square,,133,213,0.85,323,311
,,,,,,,3.2003,,5,,,,,,,,,,,,,0.75,,,,,
311-3,square,cloud,0.15,,6370,1,3.2003,11,5,shape,"['solid', 'striped', 'polka-dotted', 'red']",4,0.7826086956521738,0.08695652173913043,task,0.13043478260869562,male,1,0.1,circle,polka-dotted,,232,312,0.9,122,311
321-3,square,cloud,0.15,,19600,1,3.2003,12,5,shape,"['solid', 'striped', 'green']",3,0.05,0.8,task,0.15,male,1,0.8,circle,striped,,323,113,0.05,213,321
321-3,square,cloud,0.9,,9700,1,3.2003,13,5,shape,"['solid', 'blue', 'green']",3,0.045454545454545456,0.13636363636363635,task,0.8181818181818181,male,1,0.15,circle,blue,,213,111,0.05,311,321
22b1-2,square,cloud,0.9,,5130,1,3.2003,14,5,shape,"['solid', 'striped', 'polka-dotted', 'blue', 'red']",5,0.045454545454545456,0.13636363636363635,task,0.8181818181818181,male,1,0.15,circle,red,,132,121,0.05,312,22b1
,,,,,,,3.2003,,5,,,,,,,,,,,,,0.85,,,,,
322b-2,square,cloud,0.2,,25970,2,3.2003,19,5,shape,"['striped', 'polka-dotted', 'green']",3,0.7391304347826085,0.08695652173913043,task,0.17391304347826086,male,1,0.1,circle,polka-dotted,,233,123,0.85,133,322b
331-3,square,cloud,0.2,,830,2,3.2003,20,5,shape,"['polka-dotted', 'blue']",2,0.7391304347826085,0.08695652173913043,task,0.17391304347826086,male,1,0.1,circle,polka-dotted,,331,131,0.85,231,331
321-2,square,cloud,0.15,,16210,2,3.2003,21,5,shape,"['striped', 'blue', 'red', 'green']",4,0.7727272727272726,0.09090909090909091,task,0.13636363636363635,male,1,0.1,circle,striped,,223,121,0.85,222,321
331-3,square,cloud,0.15,,0,2,3.2003,22,5,shape,"['solid', 'blue']",2,0.7727272727272726,0.09090909090909091,task,0.13636363636363635,male,1,0.1,circle,solid,,311,111,0.85,211,331
,,,,,,,3.2003,,5,,,,,,,,,,,,,0.9,,,,,
311-3,green,blue,0.5,,10071,0,6.029233333333333,3,6,color,"['cloud', 'circle', 'square', 'solid']",4,0.2777777777777778,0.4444444444444445,task,0.2777777777777778,male,3,0.8,red,circle,,213,311,0.5,112,311
22a2b-2a,green,blue,0.1,,21882,0,6.029233333333333,4,6,color,"['cloud', 'square', 'solid', 'polka-dotted']",4,0.20833333333333334,0.7083333333333334,task,0.08333333333333334,male,3,0.85,red,polka-dotted,,133,312,0.25,113,22a2b
322b-2,green,blue,0,,27921,0,6.029233333333333,5,6,color,"['square', 'solid', 'polka-dotted']",3,0.05263157894736842,0.9473684210526315,task,0,male,3,0.9,red,polka-dotted,,333,311,0.05,313,322b
22a1-3,green,blue,0,,21302,0,6.029233333333333,6,6,color,"['cloud', 'circle', 'solid', 'polka-dotted']",4,0.4166666666666667,0.5833333333333334,task,0,male,3,0.7,red,polka-dotted,,133,211,0.5,132,22a1
,,,,,,,6.029233333333333,,6,,,,,,,,,,,,,0.25,,,,,
321-3,square,cloud,0.5,,4180,1,6.029233333333333,11,6,shape,"['solid', 'striped', 'red']",3,0.2857142857142857,0.42857142857142855,task,0.2857142857142857,male,1,0.75,circle,striped,,322,112,0.5,212,321
22b2b-2,square,cloud,0.5,,25250,1,6.029233333333333,12,6,shape,"['striped', 'polka-dotted', 'red', 'green']",4,0.27027027027027023,0.45945945945945943,task,0.27027027027027023,male,1,0.85,circle,red,,233,132,0.5,123,22b2b
22b1-3,square,cloud,0.5,,5910,1,6.029233333333333,13,6,shape,"['striped', 'polka-dotted', 'blue', 'red']",4,0.2631578947368421,0.4736842105263158,task,0.2631578947368421,male,1,0.9,circle,polka-dotted,,232,121,0.5,331,22b1
22b2b-2,square,cloud,0.5,,25000,1,6.029233333333333,14,6,shape,"['solid', 'polka-dotted', 'red', 'green']",4,0.25806451612903225,0.41935483870967744,task,0.3225806451612903,male,1,0.65,circle,green,,233,212,0.4,313,22b2b
,,,,,,,6.029233333333333,,6,,,,,,,,,,,,,0,,,,,
211-3,polka-dotted,solid,0.75,,25621,2,6.029233333333333,19,6,texture,"['cloud', 'circle', 'square', 'red', 'green']",5,0.2857142857142857,0.2857142857142857,task,0.42857142857142855,male,2,0.5,striped,cloud,,233,112,0.5,323,211
22a1-3,polka-dotted,solid,0.4,,22451,2,6.029233333333333,20,6,texture,"['cloud', 'square', 'red', 'green']",4,0.23529411764705882,0.5294117647058824,task,0.23529411764705882,male,2,0.9,striped,green,,133,312,0.4,123,22a1
211-3,polka-dotted,solid,0.4,,23801,2,6.029233333333333,21,6,texture,"['circle', 'square', 'blue', 'red', 'green']",5,0.23529411764705882,0.5294117647058824,task,0.23529411764705882,male,2,0.9,striped,square,,233,311,0.4,222,211
322b-2,polka-dotted,solid,0.7,,26300,2,6.029233333333333,22,6,texture,"['square', 'blue', 'green']",3,0,0.5625,task,0.43749999999999994,male,2,0.9,striped,square,,333,311,0,331,322b
,,,,,,,6.029233333333333,,6,,,,,,,,,,,,,0.6,,,,,
22a2b-2b,polka-dotted,solid,0.35,,28681,0,7.393033333333333,3,7,texture,"['cloud', 'square', 'red', 'green']",4,0.25,0.5,task,0.25,female,2,0.7,striped,red,,333,132,0.35,323,22a2b
22a2b-2a,polka-dotted,solid,0.65,,24601,0,7.393033333333333,4,7,texture,"['cloud', 'circle', 'blue', 'green']",4,0.12499999999999997,0.3333333333333333,task,0.5416666666666666,female,2,0.4,striped,cloud,,233,231,0.15,113,22a2b
321-3,polka-dotted,solid,0.4,,5670,0,7.393033333333333,5,7,texture,"['circle', 'blue', 'red']",3,0.48387096774193555,0.2580645161290323,task,0.2580645161290323,female,2,0.4,striped,blue,,232,211,0.75,221,321
22b1-2,polka-dotted,solid,0.4,,7611,0,7.393033333333333,6,7,texture,"['cloud', 'circle', 'square', 'blue', 'red']",5,0.45454545454545453,0.18181818181818182,task,0.36363636363636365,female,2,0.2,striped,red,,332,121,0.5,222,22b1
,,,,,,,7.393033333333333,,7,,,,,,,,,,,,,0.3,,,,,
22b2b-2,green,blue,0.3,,4862,1,7.393033333333333,11,7,color,"['cloud', 'square', 'striped', 'polka-dotted']",4,0.5,0.3125,task,0.18749999999999997,female,3,0.5,red,cloud,,132,121,0.8,331,22b2b
22a1-3,green,blue,0.55,,14532,1,7.393033333333333,12,7,color,"['cloud', 'circle', 'striped', 'polka-dotted']",4,0.38235294117647056,0.2941176470588235,task,0.3235294117647059,female,3,0.5,red,cloud,,123,121,0.65,232,22a1
322b-2,green,blue,0.35,,27921,1,7.393033333333333,13,7,color,"['square', 'solid', 'polka-dotted']",3,0.26666666666666666,0.5,task,0.2333333333333333,female,3,0.75,red,solid,,333,311,0.4,313,322b
331-3,green,blue,0.35,,21350,1,7.393033333333333,14,7,color,"['cloud', 'polka-dotted']",2,0.41379310344827586,0.3448275862068966,task,0.24137931034482757,female,3,0.5,red,cloud,,133,131,0.6,132,331
,,,,,,,7.393033333333333,,7,,,,,,,,,,,,,0.1,,,,,
22a2b-2b,square,cloud,0.25,,970,2,7.393033333333333,19,7,shape,"['solid', 'striped', 'blue', 'red']",4,0.2222222222222222,0.5925925925925926,task,0.18518518518518517,female,1,0.8,circle,blue,,112,121,0.3,321,22a2b
311-3,square,cloud,0.25,,10070,2,7.393033333333333,20,7,shape,"['solid', 'blue', 'red', 'green']",4,0.1111111111111111,0.7037037037037036,task,0.18518518518518517,female,1,0.95,circle,solid,,213,311,0.15,112,311
22b1-3,square,cloud,0.5,,22690,2,7.393033333333333,21,7,shape,"['striped', 'polka-dotted', 'red', 'green']",4,0.10714285714285715,0.5357142857142857,task,0.35714285714285715,female,1,0.75,circle,green,,133,322,0.15,223,22b1
321-2,square,cloud,0.35,,11780,2,7.393033333333333,22,7,shape,"['solid', 'blue', 'red', 'green']",4,0.09999999999999999,0.6666666666666666,task,0.2333333333333333,female,1,1,circle,solid,,313,311,0.15,112,321
,,,,,,,7.393033333333333,,7,,,,,,,,,,,,,0.5,,,,,
22b1-2,square,cloud,0.25,,5480,0,6.364566666666667,3,8,shape,"['solid', 'striped', 'polka-dotted', 'blue', 'red']",5,0.36363636363636365,0.4848484848484849,task,0.15151515151515152,female,1,0.8,circle,striped,,132,311,0.6,322,22b1
311-3,square,cloud,0.8,,18410,0,6.364566666666667,4,8,shape,"['striped', 'blue', 'red', 'green']",4,0.31428571428571433,0.2285714285714286,task,0.4571428571428572,female,1,0.4,circle,striped,,323,221,0.55,122,311
22a1-3,square,cloud,0.8,,2160,0,6.364566666666667,5,8,shape,"['solid', 'polka-dotted', 'blue', 'red']",4,0.38709677419354843,0.09677419354838711,task,0.5161290322580646,female,1,0.15,circle,solid,,312,131,0.6,212,22a1
22a1-3,square,cloud,0.75,,13320,0,6.364566666666667,6,8,shape,"['solid', 'striped', 'blue', 'green']",4,0.4,0,task,0.6,female,1,0,circle,blue,,123,211,0.5,311,22a1
,,,,,,,6.364566666666667,,8,,,,,,,,,,,,,0.7,,,,,
331-3,polka-dotted,solid,0.55,,680,1,6.364566666666667,11,8,texture,"['square', 'blue']",2,0.4516129032258064,0.1935483870967742,task,0.3548387096774194,female,2,0.3,striped,blue,,331,311,0.7,321,331
321-3,polka-dotted,solid,0.55,,17270,1,6.364566666666667,12,8,texture,"['circle', 'red', 'green']",3,0.5,0.17647058823529413,task,0.3235294117647059,female,2,0.3,striped,circle,,223,232,0.85,213,321
22b2b-2,polka-dotted,solid,0.75,,25001,1,6.364566666666667,13,8,texture,"['circle', 'square', 'red', 'green']",4,0.5277777777777778,0.05555555555555556,task,0.41666666666666663,female,2,0.1,striped,green,,233,212,0.95,313,22b2b
22b1-2,polka-dotted,solid,0.75,,1811,1,6.364566666666667,14,8,texture,"['cloud', 'circle', 'square', 'blue', 'red']",5,0.5428571428571428,0.028571428571428574,task,0.42857142857142855,female,2,0.05,striped,blue,,312,211,0.95,131,22b1
,,,,,,,6.364566666666667,,8,,,,,,,,,,,,,0.85,,,,,
22a2b-2a,green,blue,0.5,,10712,2,6.364566666666667,19,8,color,"['circle', 'square', 'solid', 'striped']",4,0.42857142857142855,0.2857142857142857,task,0.2857142857142857,female,3,0.5,red,square,,213,312,0.75,322,22a2b
22b1-3,green,blue,0.8,,10812,2,6.364566666666667,20,8,color,"['cloud', 'circle', 'solid', 'polka-dotted']",4,0.3333333333333333,0.2564102564102564,task,0.41025641025641024,female,3,0.5,red,polka-dotted,,213,231,0.65,132,22b1
22a1-3,green,blue,0.8,,16262,2,6.364566666666667,21,8,color,"['circle', 'square', 'striped', 'polka-dotted']",4,0.23809523809523808,0.38095238095238093,task,0.38095238095238093,female,3,0.8,red,striped,,223,331,0.5,222,22a1
22b1-3,green,blue,0.8,,16632,2,6.364566666666667,22,8,color,"['cloud', 'circle', 'striped', 'polka-dotted']",4,0,0.5428571428571428,task,0.4571428571428572,female,3,0.95,red,striped,,223,121,0,232,22b1
,,,,,,,6.364566666666667,,8,,,,,,,,,,,,,1,,,,,
22b2b-2,green,blue,1,,1942,0,5.86885,3,9,color,"['circle', 'square', 'solid', 'polka-dotted']",4,0.11538461538461539,0.11538461538461539,task,0.7692307692307694,female,3,0.15,red,polka-dotted,,312,211,0.15,331,22b2b
22b1-3,green,blue,0.95,,26722,0,5.86885,4,9,color,"['cloud', 'square', 'striped', 'polka-dotted']",4,0.08695652173913043,0.08695652173913043,task,0.826086956521739,female,3,0.1,red,polka-dotted,,333,131,0.1,122,22b1
22a2b-2b,green,blue,0.9,,8442,0,5.86885,5,9,color,"['cloud', 'square', 'solid', 'polka-dotted']",4,0.09090909090909091,0.09090909090909091,task,0.8181818181818181,female,3,0.1,red,polka-dotted,,113,111,0.1,331,22a2b
311-3,green,blue,0.55,,24421,0,5.86885,6,9,color,"['cloud', 'circle', 'square', 'polka-dotted']",4,0.4583333333333333,0.08333333333333333,task,0.4583333333333333,female,3,0.1,red,polka-dotted,,233,131,0.55,332,311
,,,,,,,5.86885,,9,,,,,,,,,,,,,0.2,,,,,
321-2,polka-dotted,solid,0.25,,27410,1,5.86885,11,9,texture,"['square', 'blue', 'red', 'green']",4,0.2222222222222222,0.5925925925925926,task,0.18518518518518517,female,2,0.8,striped,green,,333,321,0.3,332,321
22b1-2,polka-dotted,solid,0.15,,1811,1,5.86885,12,9,texture,"['cloud', 'circle', 'square', 'blue', 'red']",5,0.25925925925925924,0.6296296296296295,task,0.1111111111111111,female,2,0.85,striped,cloud,,312,211,0.35,131,22b1
