"","X.3","X.2","X.1","X","pref1","order0","simPreference0","slide_number","simulatedAnswer","numFeatures","normResponse0","simRank1","targetFeature","Answer.time_in_minutes","simPreference2","trial_type","obj1","obj2","pref0","name","guessRank0","certainty","order2","evalNum","simRank0","targetFeatureNum","normResponse2","sex","order1","guessRank2","normResponse1","blockNr","obj3","workerid","simRank2","simPreference1","utterance","uttCode","response1","pref2","featuresPresent","response0","targetUttCode","guessRank1","response2","item","trialNum","orderObjNum1","orderObjNum2","orderObjNum3","simulatedAnswerObjNum","utteranceNum","evalNumModel","allPresentFeaValues","ambiguous"
"27",27,27,27,39,"red",123,1,21,221,5,0.666666666666667,"red","color",10.0976833333333,0,"task",221,123,"blue","task","blue",0.65,221,"2","blue",3,0.333333333333333,"male",333,"red",0,2,333,1,"green",0.5,"striped","22b1",0,"green","['cloud', 'circle', 'square', 'striped', 'polka-dotted']",1,"22b1-2","green",0.5,28142,2,22,27,5,5,"5","2","1, 5, 9, 3, 6, 9, 2, 5, 7",TRUE
"28",28,28,28,40,"red",131,1,22,121,4,0.666666666666667,"red","color",10.0976833333333,0,"task",121,131,"blue","task","blue",0.65,121,"2","blue",3,0.333333333333333,"male",323,"red",0,2,323,1,"green",0.5,"striped","22a2b",0,"green","['cloud', 'square', 'striped', 'polka-dotted']",1,"22a2b-2a","green",0.5,17892,3,7,24,4,4,"5","2","1, 6, 7, 3, 5, 9, 1, 5, 7",TRUE
"29",29,29,29,43,"circle",323,0.5,27,323,5,0.27027027027027,"cloud","shape",10.0976833333333,1,"task",211,222,"cloud","task","cloud",0.6,211,"2","square",1,0.459459459459459,"male",222,"circle",0.27027027027027,3,323,1,"circle",0,"striped","22b1",0.5,"square","['solid', 'striped', 'blue', 'red', 'green']",0.5,"22b1-2","square",0.85,18500,0,24,14,2,24,"5","2","3, 5, 9, 2, 5, 8, 2, 4, 7",TRUE
"30",30,30,30,44,"circle",322,0.5,28,311,4,0.25,"cloud","shape",10.0976833333333,1,"task",311,212,"cloud","task","cloud",0.6,212,"2","square",1,0.5,"male",311,"circle",0.25,3,322,1,"circle",0,"solid","22b2b",0.5,"square","['solid', 'striped', 'blue', 'red']",0.5,"22b2b-2","square",1,4110,1,15,3,11,3,"4","2","3, 5, 8, 3, 4, 7, 2, 4, 8",TRUE
"31",31,31,31,45,"circle",312,0.5,29,113,4,0.4,"cloud","shape",10.0976833333333,1,"task",312,113,"cloud","task","cloud",0.6,133,"3","square",1,0.4,"male",113,"circle",0.2,3,133,1,"circle",0,"green","22a2b",0.5,"square","['solid', 'polka-dotted', 'red', 'green']",1,"22a2b-2a","square",1,21880,2,12,19,25,19,"9","2","3, 4, 8, 1, 4, 9, 1, 6, 9",FALSE
"32",32,32,32,46,"circle",322,0.5,30,313,4,0.4,"cloud","shape",10.0976833333333,1,"task",322,113,"cloud","task","cloud",0.6,113,"3","square",1,0.4,"male",313,"circle",0.2,3,313,1,"circle",0,"green","22a2b",0.5,"square","['solid', 'striped', 'red', 'green']",1,"22a2b-2b","square",1,13070,3,15,21,19,21,"9","3","3, 5, 8, 3, 4, 9, 1, 4, 9",TRUE
"33",33,33,33,49,"striped",233,1,3,213,2,0.5,"striped","texture",8.2745,0,"task",213,223,"solid","task","solid",1,213,"2","solid",2,0.25,"female",223,"striped",0.25,0,233,2,"polka-dotted",0.5,"green","331",0.35,"polka-dotted","['circle', 'green']",0.7,"331-3","polka-dotted",0.35,25500,0,26,23,20,20,"9","2","2, 6, 9, 2, 5, 9, 2, 4, 9",TRUE
"34",34,34,34,50,"striped",221,1,4,211,3,0.62962962962963,"striped","texture",8.2745,0,"task",211,221,"solid","task","solid",1,232,"2","solid",2,0.185185185185185,"female",211,"striped",0.185185185185185,0,232,2,"polka-dotted",0.5,"circle","321",0.25,"polka-dotted","['circle', 'blue', 'red']",0.85,"321-3","polka-dotted",0.25,5670,1,5,2,17,2,"2","2","2, 5, 7, 2, 4, 7, 2, 6, 8",TRUE
"35",35,35,35,51,"striped",133,1,5,313,5,1,"striped","texture",8.2745,0,"task",212,313,"solid","task","solid",1,313,"2","solid",2,0,"female",212,"striped",0,0,133,2,"polka-dotted",0.5,"green","22b1",0,"polka-dotted","['cloud', 'circle', 'square', 'red', 'green']",1,"22b1-2","polka-dotted",0,22241,2,25,11,21,21,"9","3","1, 6, 9, 2, 4, 8, 3, 4, 9",TRUE
"36",36,36,36,52,"striped",232,1,6,211,3,1,"striped","texture",8.2745,0,"task",211,222,"solid","task","solid",1,222,"2","solid",2,0,"female",211,"striped",0,0,232,2,"polka-dotted",0.5,"circle","321",0,"polka-dotted","['circle', 'blue', 'red']",1,"321-3","polka-dotted",0,6390,3,17,2,14,2,"2","3","2, 6, 8, 2, 4, 7, 2, 5, 8",TRUE
"37",37,37,37,55,"circle",231,0.5,11,132,5,0.448275862068965,"cloud","shape",8.2745,1,"task",231,132,"cloud","task","square",1,132,"2","square",1,0.275862068965517,"female",123,"circle",0.275862068965517,1,123,2,"circle",0,"polka-dotted","22b1",0.4,"square","['striped', 'polka-dotted', 'blue', 'red', 'green']",0.65,"22b1-2","cloud",0.4,14420,0,8,22,16,16,"6","3","2, 6, 7, 1, 5, 9, 1, 6, 8",TRUE
"38",38,38,38,56,"circle",111,0.5,12,313,3,0.363636363636364,"cloud","shape",8.2745,1,"task",111,211,"cloud","task","square",1,313,"3","square",1,0.454545454545455,"female",211,"circle",0.181818181818182,1,313,2,"circle",0,"solid","321",0.3,"square","['solid', 'blue', 'green']",0.6,"321-3","cloud",0.75,11400,1,1,2,21,21,"4","3","1, 4, 7, 2, 4, 7, 3, 4, 9",TRUE
"39",39,39,39,57,"circle",323,0.5,13,323,4,0.363636363636364,"cloud","shape",8.2745,1,"task",231,123,"cloud","task","square",1,123,"3","square",1,0.515151515151515,"female",231,"circle",0.121212121212121,1,323,2,"circle",0,"green","22a1",0.2,"square","['striped', 'polka-dotted', 'blue', 'green']",0.6,"22a1-3","cloud",0.85,19880,2,24,8,22,24,"9","3","3, 5, 9, 2, 6, 7, 1, 5, 9",TRUE
"40",40,40,40,58,"circle",232,0.5,14,312,4,0.290322580645161,"cloud","shape",8.2745,1,"task",312,322,"cloud","task","square",1,322,"3","square",1,0.645161290322581,"female",312,"circle",0.0645161290322581,1,232,2,"circle",0,"red","321",0.1,"square","['solid', 'striped', 'polka-dotted', 'red']",0.45,"321-2","cloud",1,6620,3,17,12,15,12,"8","3","2, 6, 8, 3, 4, 8, 3, 5, 8",TRUE
"41",41,41,41,61,"red",221,1,19,311,4,0.466666666666667,"green","color",8.2745,0.5,"task",311,221,"blue","task","blue",1,313,"3","blue",3,0.266666666666667,"female",311,"red",0.266666666666667,2,313,2,"red",0,"solid","22a2b",0.4,"green","['circle', 'square', 'solid', 'striped']",0.7,"22a2b-2b","green",0.4,11482,0,5,3,21,3,"4","1","2, 5, 7, 3, 4, 7, 3, 4, 9",TRUE
"42",42,42,42,62,"red",223,1,20,223,4,0.451612903225806,"green","color",8.2745,0.5,"task",331,222,"blue","task","blue",1,331,"3","blue",3,0.354838709677419,"female",222,"red",0.193548387096774,2,223,2,"red",0,"circle","22a1",0.3,"green","['circle', 'square', 'striped', 'polka-dotted']",0.7,"22a1-3","green",0.55,16262,1,23,14,9,23,"2","2","2, 5, 9, 2, 5, 8, 3, 6, 7",TRUE
"43",43,43,43,63,"red",133,1,21,111,4,0.516129032258065,"green","color",8.2745,0.5,"task",111,231,"blue","task","blue",1,111,"3","blue",3,0.354838709677419,"female",231,"red",0.129032258064516,2,133,2,"red",0,"cloud","22b2b",0.2,"green","['cloud', 'circle', 'solid', 'polka-dotted']",0.8,"22b2b-2","green",0.55,20452,2,25,8,1,1,"1","2","1, 6, 9, 2, 6, 7, 1, 4, 7",TRUE
"44",44,44,44,64,"red",131,1,22,131,4,0.606060606060606,"green","color",8.2745,0.5,"task",131,132,"blue","task","blue",1,132,"3","blue",3,0.393939393939394,"female",313,"red",0,2,313,2,"red",0,"cloud","22a1",0,"green","['cloud', 'square', 'solid', 'polka-dotted']",1,"22a1-3","green",0.65,12512,3,7,21,16,7,"1","2","1, 6, 7, 3, 4, 9, 1, 6, 8",TRUE
"45",45,45,45,67,"circle",211,0,27,211,3,0.275862068965517,"square","shape",8.2745,0.5,"task",111,211,"cloud","task","circle",0.6,111,"3","circle",1,0.275862068965517,"female",313,"cloud",0.448275862068965,3,313,2,"cloud",1,"blue","321",0.65,"square","['solid', 'blue', 'green']",0.4,"321-3","square",0.4,11400,0,2,21,1,2,"7","3","2, 4, 7, 3, 4, 9, 1, 4, 7",TRUE
"46",46,46,46,68,"circle",331,0,28,331,4,0.2,"square","shape",8.2745,0.5,"task",111,331,"cloud","task","circle",0.6,111,"3","circle",1,0.333333333333333,"female",112,"cloud",0.466666666666667,3,112,2,"cloud",1,"blue","22a2b",0.7,"square","['solid', 'polka-dotted', 'blue', 'red']",0.3,"22a2b-2a","square",0.5,1120,1,9,10,1,9,"7","3","3, 6, 7, 1, 4, 8, 1, 4, 7",TRUE
"47",47,47,47,69,"circle",121,0,29,331,4,0.103448275862069,"square","shape",8.2745,0.5,"task",121,331,"cloud","task","circle",0.6,331,"2","circle",1,0.448275862068965,"female",232,"cloud",0.448275862068965,3,232,2,"cloud",1,"blue","22b1",0.65,"square","['striped', 'polka-dotted', 'blue', 'red']",0.15,"22b1-3","square",0.65,5910,2,4,17,9,9,"7","3","1, 5, 7, 2, 6, 8, 3, 6, 7",TRUE
"48",48,48,48,70,"circle",112,0,30,212,3,0,"square","shape",8.2745,0.5,"task",112,212,"cloud","task","circle",0.6,212,"2","circle",1,0.5,"female",322,"cloud",0.5,3,322,2,"cloud",1,"solid","321",0.75,"square","['solid', 'striped', 'red']",0,"321-3","square",0.75,4180,3,10,15,11,11,"4","3","1, 4, 8, 3, 5, 8, 2, 4, 8",TRUE
"49",49,49,49,73,"circle",233,0.5,3,313,4,0.344827586206897,"cloud","shape",7.7028,1,"task",212,313,"cloud","task","square",0.7,313,"3","square",1,0.551724137931034,"female",212,"circle",0.103448275862069,0,233,3,"circle",0,"green","22b2b",0.15,"square","['solid', 'polka-dotted', 'red', 'green']",0.5,"22b2b-2","cloud",0.8,25000,0,26,11,21,21,"9","2","2, 6, 9, 2, 4, 8, 3, 4, 9",TRUE
"50",50,50,50,74,"circle",131,0.5,4,131,3,0.529411764705882,"cloud","shape",7.7028,1,"task",111,131,"cloud","task","square",0.7,231,"2","square",1,0.470588235294118,"female",111,"circle",0,0,231,3,"circle",0,"polka-dotted","322b",0,"square","['solid', 'polka-dotted', 'blue']",0.9,"322b-2","cloud",0.8,500,1,7,1,8,7,"6","3","1, 6, 7, 1, 4, 7, 2, 6, 7",TRUE
"51",51,51,51,75,"circle",332,0.5,5,113,5,0.542857142857143,"cloud","shape",7.7028,1,"task",332,113,"cloud","task","square",0.7,113,"2","square",1,0.457142857142857,"female",223,"circle",0,0,223,3,"circle",0,"green","211",0,"square","['solid', 'striped', 'polka-dotted', 'red', 'green']",0.95,"211-3","cloud",0.8,17100,2,18,23,19,19,"9","2","3, 6, 8, 2, 5, 9, 1, 4, 9",TRUE
"52",52,52,52,76,"circle",111,0.5,6,312,4,0.411764705882353,"cloud","shape",7.7028,1,"task",111,312,"cloud","task","square",0.7,332,"3","square",1,0.588235294117647,"female",312,"circle",0,0,332,3,"circle",0,"solid","22a2b",0,"square","['solid', 'polka-dotted', 'blue', 'red']",0.7,"22a2b-2a","cloud",1,7350,3,1,12,18,12,"4","3","1, 4, 7, 3, 4, 8, 3, 6, 8",TRUE
"53",53,53,53,79,"striped",222,0,11,222,4,0.27027027027027,"polka-dotted","texture",7.7028,0.5,"task",211,222,"solid","task","striped",0.65,233,"3","striped",2,0.27027027027027,"female",211,"solid",0.459459459459459,1,233,3,"solid",1,"circle","311",0.85,"polka-dotted","['circle', 'blue', 'red', 'green']",0.5,"311-3","polka-dotted",0.5,23790,0,14,2,26,14,"2","3","2, 5, 8, 2, 4, 7, 2, 6, 9",TRUE
"54",54,54,54,80,"striped",233,0,12,221,4,0.166666666666667,"polka-dotted","texture",7.7028,0.5,"task",311,221,"solid","task","striped",0.65,221,"3","striped",2,0.166666666666667,"female",311,"solid",0.666666666666667,1,233,3,"solid",1,"blue","22b1",1,"polka-dotted","['circle', 'square', 'blue', 'green']",0.25,"22b1-3","polka-dotted",0.25,23081,1,26,3,5,5,"7","3","2, 6, 9, 3, 4, 7, 2, 5, 7",TRUE
"55",55,55,55,81,"striped",332,0,13,332,4,0.0294117647058824,"polka-dotted","texture",7.7028,0.5,"task",122,332,"solid","task","striped",0.65,122,"3","striped",2,0.382352941176471,"female",313,"solid",0.588235294117647,1,313,3,"solid",1,"square","22b1",1,"polka-dotted","['cloud', 'square', 'red', 'green']",0.05,"22b1-3","polka-dotted",0.65,12881,2,18,21,13,18,"3","3","3, 6, 8, 3, 4, 9, 1, 5, 8",TRUE
"56",56,56,56,82,"striped",222,0,14,321,4,0.0434782608695652,"polka-dotted","texture",7.7028,0.5,"task",321,222,"solid","task","striped",0.65,321,"3","striped",2,0.0869565217391304,"female",332,"solid",0.869565217391304,1,332,3,"solid",1,"square","22b2b",1,"polka-dotted","['circle', 'square', 'blue', 'red']",0.05,"22b2b-2","polka-dotted",0.1,7631,3,14,18,6,6,"3","3","2, 5, 8, 3, 6, 8, 3, 5, 7",TRUE
"57",57,57,57,85,"red",111,0.5,19,123,5,0.137931034482759,"blue","color",7.7028,1,"task",111,332,"blue","task","blue",0.8,332,"2","green",3,0.517241379310345,"female",123,"red",0.344827586206897,2,123,3,"red",0,"cloud","211",0.5,"green","['cloud', 'square', 'solid', 'striped', 'polka-dotted']",0.2,"211-3","green",0.75,14662,0,1,22,18,22,"1","2","1, 4, 7, 1, 5, 9, 3, 6, 8",TRUE
"58",58,58,58,86,"red",333,0.5,20,131,4,0.387096774193548,"blue","color",7.7028,1,"task",131,122,"blue","task","blue",0.8,131,"3","green",3,0.483870967741935,"female",122,"red",0.129032258064516,2,333,3,"red",0,"cloud","22b1",0.2,"green","['cloud', 'square', 'striped', 'polka-dotted']",0.6,"22b1-3","green",0.75,26722,1,27,13,7,7,"1","3","3, 6, 9, 1, 5, 8, 1, 6, 7",TRUE
"59",59,59,59,87,"red",122,0.5,21,121,3,0.472222222222222,"blue","color",7.7028,1,"task",121,112,"blue","task","blue",0.8,121,"2","green",3,0.416666666666667,"female",112,"red",0.111111111111111,2,122,3,"red",0,"striped","322b",0.2,"green","['cloud', 'solid', 'striped']",0.85,"322b-2","green",0.75,2591,2,13,10,4,4,"5","3","1, 5, 8, 1, 4, 8, 1, 5, 7",TRUE
"60",60,60,60,88,"red",233,0.5,22,233,4,0.447368421052632,"blue","color",7.7028,1,"task",111,132,"blue","task","blue",0.8,111,"3","green",3,0.447368421052632,"female",132,"red",0.105263157894737,2,233,3,"red",0,"polka-dotted","22b1",0.2,"green","['cloud', 'circle', 'solid', 'polka-dotted']",0.85,"22b1-3","green",0.85,24052,3,26,16,1,26,"6","3","2, 6, 9, 1, 6, 8, 1, 4, 7",TRUE
"61",61,61,61,91,"circle",211,0.5,27,311,2,0.25,"cloud","shape",7.7028,1,"task",111,211,"cloud","task","square",0.9,111,"2","square",1,0.5,"female",311,"circle",0.25,3,311,3,"circle",0,"blue","331",0.5,"square","['solid', 'blue']",0.5,"331-3","cloud",1,0,0,2,3,1,3,"7","2","2, 4, 7, 3, 4, 7, 1, 4, 7",TRUE
"62",62,62,62,92,"circle",332,0.5,28,321,4,0.294117647058824,"cloud","shape",7.7028,1,"task",221,321,"cloud","task","square",0.9,321,"3","square",1,0.588235294117647,"female",221,"circle",0.117647058823529,3,332,3,"circle",0,"blue","22a2b",0.2,"square","['striped', 'polka-dotted', 'blue', 'red']",0.5,"22a2b-2b","cloud",1,6940,1,18,5,6,6,"7","3","3, 6, 8, 2, 5, 7, 3, 5, 7",TRUE
"63",63,63,63,93,"circle",112,0.5,29,332,4,0.172413793103448,"cloud","shape",7.7028,1,"task",112,332,"cloud","task","square",0.9,332,"3","square",1,0.689655172413793,"female",133,"circle",0.137931034482759,3,133,3,"circle",0,"red","22b2b",0.2,"square","['solid', 'polka-dotted', 'red', 'green']",0.25,"22b2b-2","cloud",1,21690,2,10,25,18,18,"8","3","1, 4, 8, 1, 6, 9, 3, 6, 8",TRUE
"64",64,64,64,94,"circle",212,0.5,30,122,3,0.411764705882353,"cloud","shape",7.7028,1,"task",212,122,"cloud","task","square",0.9,222,"3","square",1,0.588235294117647,"female",122,"circle",0,3,222,3,"circle",0,"striped","322b",0,"square","['solid', 'striped', 'red']",0.7,"322b-2","cloud",1,3620,3,11,13,14,13,"5","3","2, 4, 8, 1, 5, 8, 2, 5, 8",TRUE
"65",65,65,65,97,"striped",323,0,3,332,4,0.208333333333333,"striped","texture",9.34245,1,"task",132,332,"solid","task","polka-dotted",0.65,132,"2","polka-dotted",2,0.791666666666667,"female",332,"solid",0,0,323,4,"solid",0.5,"square","22a2b",0,"polka-dotted","['cloud', 'square', 'red', 'green']",0.25,"22a2b-2a","striped",0.95,19221,0,24,18,16,18,"3","1","3, 5, 9, 3, 6, 8, 1, 6, 8",TRUE
"66",66,66,66,98,"striped",212,0,4,133,5,0,"striped","texture",9.34245,1,"task",212,313,"solid","task","polka-dotted",0.65,313,"3","polka-dotted",2,0.909090909090909,"female",133,"solid",0.0909090909090909,0,133,4,"solid",0.5,"green","22b1",0.1,"polka-dotted","['cloud', 'circle', 'square', 'red', 'green']",0,"22b1-2","striped",1,22241,1,11,25,21,25,"9","2","2, 4, 8, 1, 6, 9, 3, 4, 9",TRUE
"67",67,67,67,99,"striped",321,0,5,321,4,0,"striped","texture",9.34245,1,"task",311,321,"solid","task","polka-dotted",0.65,232,"3","polka-dotted",2,0.606060606060606,"female",311,"solid",0.393939393939394,0,232,4,"solid",0.5,"blue","22a1",0.65,"polka-dotted","['circle', 'square', 'blue', 'red']",0,"22a1-3","striped",1,5721,2,6,3,17,6,"7","3","3, 5, 7, 3, 4, 7, 2, 6, 8",TRUE
"68",68,68,68,100,"striped",322,0,6,131,5,0,"striped","texture",9.34245,1,"task",131,322,"solid","task","polka-dotted",0.65,131,"3","polka-dotted",2,0.740740740740741,"female",113,"solid",0.259259259259259,0,113,4,"solid",0.5,"cloud","211",0.35,"polka-dotted","['cloud', 'square', 'blue', 'red', 'green']",0,"211-3","striped",1,9131,3,15,19,7,7,"1","3","3, 5, 8, 1, 4, 9, 1, 6, 7",TRUE
"69",69,69,69,103,"striped",122,1,11,312,4,0.666666666666667,"polka-dotted","texture",9.34245,0.5,"task",331,312,"solid","task","solid",0.4,331,"3","solid",2,0.333333333333333,"female",312,"striped",0,1,122,4,"striped",0,"red","22b1",0,"polka-dotted","['cloud', 'square', 'blue', 'red']",1,"22b1-3","polka-dotted",0.5,2831,0,13,12,9,12,"8","3","1, 5, 8, 3, 4, 8, 3, 6, 7",TRUE
"70",70,70,70,104,"striped",211,1,12,211,5,0.645161290322581,"polka-dotted","texture",9.34245,0.5,"task",211,232,"solid","task","solid",0.4,313,"3","solid",2,0.32258064516129,"female",232,"striped",0.032258064516129,1,313,4,"striped",0,"circle","22b1",0.05,"polka-dotted","['circle', 'square', 'blue', 'red', 'green']",1,"22b1-2","polka-dotted",0.5,12611,1,2,17,21,2,"2","2","2, 4, 7, 2, 6, 8, 3, 4, 9",TRUE
"71",71,71,71,105,"striped",221,1,13,212,4,0.606060606060606,"polka-dotted","texture",9.34245,0.5,"task",221,131,"solid","task","solid",0.4,131,"3","solid",2,0.333333333333333,"female",212,"striped",0.0606060606060606,1,212,4,"striped",0,"circle","22b1",0.1,"polka-dotted","['cloud', 'circle', 'blue', 'red']",1,"22b1-3","polka-dotted",0.55,1391,2,5,11,7,11,"2","3","2, 5, 7, 2, 4, 8, 1, 6, 7",TRUE
"72",72,72,72,106,"striped",313,1,14,313,4,0.606060606060606,"polka-dotted","texture",9.34245,0.5,"task",321,312,"solid","task","solid",0.4,321,"3","solid",2,0.333333333333333,"female",312,"striped",0.0606060606060606,1,313,4,"striped",0,"square","321",0.1,"polka-dotted","['square', 'blue', 'red', 'green']",1,"321-2","polka-dotted",0.55,12000,3,21,12,6,21,"3","3","3, 4, 9, 3, 4, 8, 3, 5, 7",TRUE
"73",73,73,73,109,"striped",313,0,19,323,2,0.277777777777778,"polka-dotted","texture",9.34245,0.5,"task",313,323,"solid","task","striped",0.55,333,"3","striped",2,0.277777777777778,"female",323,"solid",0.444444444444444,2,333,4,"solid",1,"square","331",0.8,"polka-dotted","['square', 'green']",0.5,"331-3","polka-dotted",0.5,28730,0,21,24,27,24,"3","3","3, 4, 9, 3, 5, 9, 3, 6, 9",TRUE
"74",74,74,74,110,"striped",133,0,20,133,4,0,"polka-dotted","texture",9.34245,0.5,"task",112,312,"solid","task","striped",0.55,312,"2","striped",2,0.515151515151515,"female",112,"solid",0.484848484848485,2,133,4,"solid",1,"cloud","22a2b",0.8,"polka-dotted","['cloud', 'square', 'red', 'green']",0,"22a2b-2a","polka-dotted",0.85,20881,1,25,10,12,25,"1","3","1, 6, 9, 1, 4, 8, 3, 4, 8",TRUE
"75",75,75,75,111,"striped",122,0,21,222,3,0,"polka-dotted","texture",9.34245,0.5,"task",212,122,"solid","task","striped",0.55,222,"3","striped",2,0.459459459459459,"female",212,"solid",0.54054054054054,2,222,4,"solid",1,"circle","322b",1,"polka-dotted","['cloud', 'circle', 'red']",0,"322b-2","polka-dotted",0.85,3621,2,13,11,14,14,"2","3","1, 5, 8, 2, 4, 8, 2, 5, 8",TRUE
"76",76,76,76,112,"striped",233,0,22,323,5,0,"polka-dotted","texture",9.34245,0.5,"task",112,323,"solid","task","striped",0.55,112,"3","striped",2,0.444444444444444,"female",323,"solid",0.555555555555556,2,233,4,"solid",1,"green","211",1,"polka-dotted","['cloud', 'circle', 'square', 'red', 'green']",0,"211-3","polka-dotted",0.8,25621,3,26,24,10,24,"9","3","2, 6, 9, 3, 5, 9, 1, 4, 8",TRUE
"77",77,77,77,115,"red",212,1,27,213,4,0.303030303030303,"green","color",9.34245,0.5,"task",212,122,"blue","task","blue",0.6,213,"2","blue",3,0.606060606060606,"female",122,"red",0.0909090909090909,3,213,4,"red",0,"circle","22a2b",0.15,"green","['cloud', 'circle', 'solid', 'striped']",0.5,"22a2b-2b","green",1,10452,0,11,13,20,20,"2","3","2, 4, 8, 1, 5, 8, 2, 4, 9",TRUE
"78",78,78,78,116,"red",233,1,28,231,4,0.512820512820513,"green","color",9.34245,0.5,"task",121,231,"blue","task","blue",0.6,231,"3","blue",3,0.384615384615385,"female",121,"red",0.102564102564103,3,233,4,"red",0,"polka-dotted","22a2b",0.2,"green","['cloud', 'circle', 'striped', 'polka-dotted']",1,"22a2b-2b","green",0.75,23242,1,26,4,8,8,"6","2","2, 6, 9, 1, 5, 7, 2, 6, 7",TRUE
