pref1,order0,simPreference0,slide_number,simulatedAnswer,numFeatures,normResponse0,simRank1,targetFeature,Answer.time_in_minutes,simPreference2,trial_type,obj1,obj2,pref0,name,guessRank0,certainty,order2,evalNum,simRank0,targetFeatureNum,normResponse2,sex,order1,guessRank2,normResponse1,blockNr,obj3,workerid,simRank2,simPreference1,utterance,uttCode,response1,pref2,featuresPresent,response0,targetUttCode,guessRank1,response2,item,trialNum
,,,,,,,,,17.337866666666667,,,,,,,,0.85,,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,,,,square,,17.337866666666667,,,,,,,cloud,,,2,cloud,,,,,square,,,,0,circle,,,,,,,,,circle,,,
red,132,0,19,112,4,0.2,,color,17.337866666666667,0.5,task,112,132,blue,task,,,123,,,3,0.2,female,112,,0.6,2,123,0,,1,solid,321,0.75,green,"['cloud', 'solid', 'striped', 'polka-dotted']",0.25,321-2,,0.25,14441,0
red,231,0,20,233,4,0.19047619047619052,,color,17.337866666666667,0.5,task,121,231,blue,task,,,121,,,3,0.6666666666666667,female,233,,0.14285714285714288,2,233,0,,1,circle,22a2b,0.15,green,"['cloud', 'circle', 'striped', 'polka-dotted']",0.2,22a2b-2b,,0.7,23242,1
red,323,0,21,323,4,0.1,,color,17.337866666666667,0.5,task,221,122,blue,task,,,221,,,3,0.8,female,122,,0.1,2,323,0,,1,square,311,0.1,green,"['cloud', 'circle', 'square', 'striped']",0.1,311-3,,0.8,18411,2
red,333,0,22,322,4,0.15,,color,17.337866666666667,0.5,task,221,322,blue,task,,,322,,,3,0.1,female,221,,0.75,2,333,0,,1,square,22b1,0.75,green,"['circle', 'square', 'striped', 'polka-dotted']",0.15,22b1-3,,0.1,26952,3
,,,,,,,,,17.337866666666667,,,,,,,,0.9,,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,,,,green,,17.337866666666667,,,,,,,red,,,2,red,,,,,green,,,,0,blue,,,,,,,,,blue,,,
red,211,0,27,223,4,0.11111111111111113,,color,17.337866666666667,1,task,211,232,blue,task,,,223,,,3,0.7777777777777778,female,232,,0.11111111111111113,3,223,0,,0.5,circle,311,0.1,green,"['circle', 'solid', 'striped', 'polka-dotted']",0.1,311-3,,0.7,16611,0
red,232,0,28,232,4,0.125,,color,17.337866666666667,1,task,331,132,blue,task,,,132,,,3,0.125,female,331,,0.75,3,232,0,,0.5,circle,321,0.9,green,"['cloud', 'circle', 'square', 'polka-dotted']",0.15,321-2,,0.15,6731,1
red,312,0,29,213,5,0.125,,color,17.337866666666667,1,task,312,213,blue,task,,,213,,,3,0.6875,female,123,,0.18749999999999997,3,123,0,,0.5,circle,22b1,0.15,green,"['cloud', 'circle', 'square', 'solid', 'striped']",0.1,22b1-2,,0.55,15122,2
red,313,0,30,313,4,0.05,,color,17.337866666666667,1,task,321,332,blue,task,,,321,,,3,0.85,female,332,,0.1,3,313,0,,0.5,square,311,0.1,green,"['square', 'solid', 'striped', 'polka-dotted']",0.05,311-3,,0.85,12811,3
,,,,,,,,,17.337866666666667,,,,,,,,0.8,,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,,,,red,,17.337866666666667,,,,,,,green,,,3,green,,,,,blue,,,,0,blue,,,,,,,,,red,,,
striped,222,0,3,222,4,0.3103448275862069,,texture,10.097683333333332,1,task,222,223,solid,task,,,223,,,2,0,male,133,,0.6896551724137931,0,133,1,,0.5,circle,22a2b,1,polka-dotted,"['cloud', 'circle', 'red', 'green']",0.45,22a2b-2a,,0,22681,0
striped,311,0,4,221,4,0,,texture,10.097683333333332,1,task,111,311,solid,task,,,111,,,2,0,male,221,,1,0,221,1,,0.5,blue,321,1,polka-dotted,"['cloud', 'circle', 'square', 'blue']",0,321-2,,0,51,1
striped,212,0,5,132,4,0,,texture,10.097683333333332,1,task,212,132,solid,task,,,332,,,2,0,male,132,,1,0,332,1,,0.5,red,321,1,polka-dotted,"['cloud', 'circle', 'square', 'red']",0,321-2,,0,7951,2
striped,213,0,6,233,2,0,,texture,10.097683333333332,1,task,213,223,solid,task,,,233,,,2,0.3333333333333333,male,223,,0.6666666666666666,0,233,1,,0.5,green,331,1,polka-dotted,"['circle', 'green']",0,331-3,,0.5,25500,3
,,,,,,,,,10.097683333333332,,,,,,,,0.45,,,,,,,,,,,,1,,,,,,,,,,,,,
,,,,,,,striped,,10.097683333333332,,,,,,,striped,,,2,polka-dotted,,,,,solid,,,,1,solid,,,,,,,,,polka-dotted,,,
circle,331,0.5,11,332,4,0.25,,shape,10.097683333333332,1,task,331,212,cloud,task,,,332,,,1,0.5,male,212,,0.25,1,332,1,,0,red,22a2b,0.5,square,"['solid', 'polka-dotted', 'blue', 'red']",0.5,22a2b-2a,,1,7330,0
circle,221,0.5,12,321,4,0.3333333333333333,,shape,10.097683333333332,1,task,221,321,cloud,task,,,321,,,1,0.6666666666666666,male,232,,0,1,232,1,,0,striped,22a2b,0,square,"['striped', 'polka-dotted', 'blue', 'red']",0.5,22a2b-2b,,1,5740,1
circle,122,0.5,13,122,4,0.5,,shape,10.097683333333332,1,task,122,222,cloud,task,,,222,,,1,0.5,male,233,,0,1,233,1,,0,striped,22a2b,0,square,"['striped', 'polka-dotted', 'red', 'green']",1,22a2b-2b,,1,23900,2
circle,311,0.5,14,311,4,0.5,,shape,10.097683333333332,1,task,311,213,cloud,task,,,213,,,1,0.5,male,133,,0,1,133,1,,0,solid,22b1,0,square,"['solid', 'polka-dotted', 'blue', 'green']",1,22b1-3,,1,21970,3
,,,,,,,,,10.097683333333332,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
,,,,,,,cloud,,10.097683333333332,,,,,,,cloud,,,2,square,,,,,circle,,,,1,circle,,,,,,,,,square,,,
red,122,1,19,121,3,0.6666666666666666,,color,10.097683333333332,0,task,121,112,blue,task,,,121,,,3,0.3333333333333333,male,112,,0,2,122,1,,0.5,cloud,322b,0,green,"['cloud', 'solid', 'striped']",1,322b-2,,0.5,2591,0
red,321,1,20,321,4,0.6666666666666666,,color,10.097683333333332,0,task,321,222,blue,task,,,222,,,3,0.3333333333333333,male,332,,0,2,332,1,,0.5,striped,22b2b,0,green,"['circle', 'square', 'striped', 'polka-dotted']",1,22b2b-2,,0.5,7632,1
red,123,1,21,221,5,0.6666666666666666,,color,10.097683333333332,0,task,221,123,blue,task,,,221,,,3,0.3333333333333333,male,333,,0,2,333,1,,0.5,striped,22b1,0,green,"['cloud', 'circle', 'square', 'striped', 'polka-dotted']",1,22b1-2,,0.5,28142,2
red,131,1,22,121,4,0.6666666666666666,,color,10.097683333333332,0,task,121,131,blue,task,,,121,,,3,0.3333333333333333,male,323,,0,2,323,1,,0.5,striped,22a2b,0,green,"['cloud', 'square', 'striped', 'polka-dotted']",1,22a2b-2a,,0.5,17892,3
,,,,,,,,,10.097683333333332,,,,,,,,0.65,,,,,,,,,,,,1,,,,,,,,,,,,,
,,,,,,,red,,10.097683333333332,,,,,,,blue,,,2,blue,,,,,red,,,,1,green,,,,,,,,,green,,,
circle,323,0.5,27,323,5,0.27027027027027023,,shape,10.097683333333332,1,task,211,222,cloud,task,,,211,,,1,0.45945945945945943,male,222,,0.27027027027027023,3,323,1,,0,striped,22b1,0.5,square,"['solid', 'striped', 'blue', 'red', 'green']",0.5,22b1-2,,0.85,18500,0
circle,322,0.5,28,311,4,0.25,,shape,10.097683333333332,1,task,311,212,cloud,task,,,212,,,1,0.5,male,311,,0.25,3,322,1,,0,solid,22b2b,0.5,square,"['solid', 'striped', 'blue', 'red']",0.5,22b2b-2,,1,4110,1
circle,312,0.5,29,113,4,0.4,,shape,10.097683333333332,1,task,312,113,cloud,task,,,133,,,1,0.4,male,113,,0.2,3,133,1,,0,green,22a2b,0.5,square,"['solid', 'polka-dotted', 'red', 'green']",1,22a2b-2a,,1,21880,2
circle,322,0.5,30,313,4,0.4,,shape,10.097683333333332,1,task,322,113,cloud,task,,,113,,,1,0.4,male,313,,0.2,3,313,1,,0,green,22a2b,0.5,square,"['solid', 'striped', 'red', 'green']",1,22a2b-2b,,1,13070,3
,,,,,,,,,10.097683333333332,,,,,,,,0.6,,,,,,,,,,,,1,,,,,,,,,,,,,
,,,,,,,cloud,,10.097683333333332,,,,,,,cloud,,,2,square,,,,,circle,,,,1,circle,,,,,,,,,square,,,
striped,233,1,3,213,2,0.5,,texture,8.2745,0,task,213,223,solid,task,,,213,,,2,0.25,female,223,,0.25,0,233,2,,0.5,green,331,0.35,polka-dotted,"['circle', 'green']",0.7,331-3,,0.35,25500,0
striped,221,1,4,211,3,0.6296296296296295,,texture,8.2745,0,task,211,221,solid,task,,,232,,,2,0.18518518518518517,female,211,,0.18518518518518517,0,232,2,,0.5,circle,321,0.25,polka-dotted,"['circle', 'blue', 'red']",0.85,321-3,,0.25,5670,1
striped,133,1,5,313,5,1,,texture,8.2745,0,task,212,313,solid,task,,,313,,,2,0,female,212,,0,0,133,2,,0.5,green,22b1,0,polka-dotted,"['cloud', 'circle', 'square', 'red', 'green']",1,22b1-2,,0,22241,2
striped,232,1,6,211,3,1,,texture,8.2745,0,task,211,222,solid,task,,,222,,,2,0,female,211,,0,0,232,2,,0.5,circle,321,0,polka-dotted,"['circle', 'blue', 'red']",1,321-3,,0,6390,3
,,,,,,,,,8.2745,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,
,,,,,,,striped,,8.2745,,,,,,,solid,,,2,solid,,,,,striped,,,,2,polka-dotted,,,,,,,,,polka-dotted,,,
circle,231,0.5,11,132,5,0.44827586206896547,,shape,8.2745,1,task,231,132,cloud,task,,,132,,,1,0.27586206896551724,female,123,,0.27586206896551724,1,123,2,,0,polka-dotted,22b1,0.4,square,"['striped', 'polka-dotted', 'blue', 'red', 'green']",0.65,22b1-2,,0.4,14420,0
circle,111,0.5,12,313,3,0.36363636363636365,,shape,8.2745,1,task,111,211,cloud,task,,,313,,,1,0.4545454545454546,female,211,,0.18181818181818182,1,313,2,,0,solid,321,0.3,square,"['solid', 'blue', 'green']",0.6,321-3,,0.75,11400,1
circle,323,0.5,13,323,4,0.36363636363636365,,shape,8.2745,1,task,231,123,cloud,task,,,123,,,1,0.5151515151515151,female,231,,0.12121212121212123,1,323,2,,0,green,22a1,0.2,square,"['striped', 'polka-dotted', 'blue', 'green']",0.6,22a1-3,,0.85,19880,2
circle,232,0.5,14,312,4,0.2903225806451613,,shape,8.2745,1,task,312,322,cloud,task,,,322,,,1,0.6451612903225806,female,312,,0.06451612903225806,1,232,2,,0,red,321,0.1,square,"['solid', 'striped', 'polka-dotted', 'red']",0.45,321-2,,1,6620,3
,,,,,,,,,8.2745,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,
,,,,,,,cloud,,8.2745,,,,,,,square,,,3,square,,,,,circle,,,,2,circle,,,,,,,,,cloud,,,
red,221,1,19,311,4,0.4666666666666666,,color,8.2745,0.5,task,311,221,blue,task,,,313,,,3,0.26666666666666666,female,311,,0.26666666666666666,2,313,2,,0,solid,22a2b,0.4,green,"['circle', 'square', 'solid', 'striped']",0.7,22a2b-2b,,0.4,11482,0
red,223,1,20,223,4,0.4516129032258064,,color,8.2745,0.5,task,331,222,blue,task,,,331,,,3,0.3548387096774194,female,222,,0.1935483870967742,2,223,2,,0,circle,22a1,0.3,green,"['circle', 'square', 'striped', 'polka-dotted']",0.7,22a1-3,,0.55,16262,1
red,133,1,21,111,4,0.5161290322580645,,color,8.2745,0.5,task,111,231,blue,task,,,111,,,3,0.3548387096774194,female,231,,0.12903225806451613,2,133,2,,0,cloud,22b2b,0.2,green,"['cloud', 'circle', 'solid', 'polka-dotted']",0.8,22b2b-2,,0.55,20452,2
red,131,1,22,131,4,0.6060606060606061,,color,8.2745,0.5,task,131,132,blue,task,,,132,,,3,0.393939393939394,female,313,,0,2,313,2,,0,cloud,22a1,0,green,"['cloud', 'square', 'solid', 'polka-dotted']",1,22a1-3,,0.65,12512,3
,,,,,,,,,8.2745,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,
,,,,,,,green,,8.2745,,,,,,,blue,,,3,blue,,,,,red,,,,2,red,,,,,,,,,green,,,
circle,211,0,27,211,3,0.27586206896551724,,shape,8.2745,0.5,task,111,211,cloud,task,,,111,,,1,0.27586206896551724,female,313,,0.44827586206896547,3,313,2,,1,blue,321,0.65,square,"['solid', 'blue', 'green']",0.4,321-3,,0.4,11400,0
circle,331,0,28,331,4,0.19999999999999998,,shape,8.2745,0.5,task,111,331,cloud,task,,,111,,,1,0.3333333333333333,female,112,,0.4666666666666666,3,112,2,,1,blue,22a2b,0.7,square,"['solid', 'polka-dotted', 'blue', 'red']",0.3,22a2b-2a,,0.5,1120,1
circle,121,0,29,331,4,0.10344827586206895,,shape,8.2745,0.5,task,121,331,cloud,task,,,331,,,1,0.44827586206896547,female,232,,0.44827586206896547,3,232,2,,1,blue,22b1,0.65,square,"['striped', 'polka-dotted', 'blue', 'red']",0.15,22b1-3,,0.65,5910,2
circle,112,0,30,212,3,0,,shape,8.2745,0.5,task,112,212,cloud,task,,,212,,,1,0.5,female,322,,0.5,3,322,2,,1,solid,321,0.75,square,"['solid', 'striped', 'red']",0,321-3,,0.75,4180,3
,,,,,,,,,8.2745,,,,,,,,0.6,,,,,,,,,,,,2,,,,,,,,,,,,,
,,,,,,,square,,8.2745,,,,,,,circle,,,3,circle,,,,,cloud,,,,2,cloud,,,,,,,,,square,,,
circle,233,0.5,3,313,4,0.3448275862068965,,shape,7.7028,1,task,212,313,cloud,task,,,313,,,1,0.5517241379310345,female,212,,0.10344827586206895,0,233,3,,0,green,22b2b,0.15,square,"['solid', 'polka-dotted', 'red', 'green']",0.5,22b2b-2,,0.8,25000,0
circle,131,0.5,4,131,3,0.5294117647058824,,shape,7.7028,1,task,111,131,cloud,task,,,231,,,1,0.47058823529411764,female,111,,0,0,231,3,,0,polka-dotted,322b,0,square,"['solid', 'polka-dotted', 'blue']",0.9,322b-2,,0.8,500,1
circle,332,0.5,5,113,5,0.5428571428571428,,shape,7.7028,1,task,332,113,cloud,task,,,113,,,1,0.4571428571428572,female,223,,0,0,223,3,,0,green,211,0,square,"['solid', 'striped', 'polka-dotted', 'red', 'green']",0.95,211-3,,0.8,17100,2
circle,111,0.5,6,312,4,0.4117647058823529,,shape,7.7028,1,task,111,312,cloud,task,,,332,,,1,0.5882352941176471,female,312,,0,0,332,3,,0,solid,22a2b,0,square,"['solid', 'polka-dotted', 'blue', 'red']",0.7,22a2b-2a,,1,7350,3
,,,,,,,,,7.7028,,,,,,,,0.7,,,,,,,,,,,,3,,,,,,,,,,,,,
,,,,,,,cloud,,7.7028,,,,,,,square,,,3,square,,,,,circle,,,,3,circle,,,,,,,,,cloud,,,
striped,222,0,11,222,4,0.27027027027027023,,texture,7.7028,0.5,task,211,222,solid,task,,,233,,,2,0.27027027027027023,female,211,,0.45945945945945943,1,233,3,,1,circle,311,0.85,polka-dotted,"['circle', 'blue', 'red', 'green']",0.5,311-3,,0.5,23790,0
striped,233,0,12,221,4,0.16666666666666666,,texture,7.7028,0.5,task,311,221,solid,task,,,221,,,2,0.16666666666666666,female,311,,0.6666666666666666,1,233,3,,1,blue,22b1,1,polka-dotted,"['circle', 'square', 'blue', 'green']",0.25,22b1-3,,0.25,23081,1
striped,332,0,13,332,4,0.029411764705882353,,texture,7.7028,0.5,task,122,332,solid,task,,,122,,,2,0.38235294117647056,female,313,,0.588235294117647,1,313,3,,1,square,22b1,1,polka-dotted,"['cloud', 'square', 'red', 'green']",0.05,22b1-3,,0.65,12881,2
striped,222,0,14,321,4,0.043478260869565216,,texture,7.7028,0.5,task,321,222,solid,task,,,321,,,2,0.08695652173913043,female,332,,0.8695652173913042,1,332,3,,1,square,22b2b,1,polka-dotted,"['circle', 'square', 'blue', 'red']",0.05,22b2b-2,,0.1,7631,3
,,,,,,,,,7.7028,,,,,,,,0.65,,,,,,,,,,,,3,,,,,,,,,,,,,
,,,,,,,polka-dotted,,7.7028,,,,,,,striped,,,3,striped,,,,,solid,,,,3,solid,,,,,,,,,polka-dotted,,,
red,111,0.5,19,123,5,0.13793103448275862,,color,7.7028,1,task,111,332,blue,task,,,332,,,3,0.5172413793103449,female,123,,0.3448275862068966,2,123,3,,0,cloud,211,0.5,green,"['cloud', 'square', 'solid', 'striped', 'polka-dotted']",0.2,211-3,,0.75,14662,0
red,333,0.5,20,131,4,0.3870967741935484,,color,7.7028,1,task,131,122,blue,task,,,131,,,3,0.48387096774193544,female,122,,0.12903225806451613,2,333,3,,0,cloud,22b1,0.2,green,"['cloud', 'square', 'striped', 'polka-dotted']",0.6,22b1-3,,0.75,26722,1
red,122,0.5,21,121,3,0.4722222222222222,,color,7.7028,1,task,121,112,blue,task,,,121,,,3,0.41666666666666663,female,112,,0.11111111111111112,2,122,3,,0,striped,322b,0.2,green,"['cloud', 'solid', 'striped']",0.85,322b-2,,0.75,2591,2
red,233,0.5,22,233,4,0.4473684210526316,,color,7.7028,1,task,111,132,blue,task,,,111,,,3,0.4473684210526316,female,132,,0.10526315789473685,2,233,3,,0,polka-dotted,22b1,0.2,green,"['cloud', 'circle', 'solid', 'polka-dotted']",0.85,22b1-3,,0.85,24052,3
,,,,,,,,,7.7028,,,,,,,,0.8,,,,,,,,,,,,3,,,,,,,,,,,,,
,,,,,,,blue,,7.7028,,,,,,,blue,,,2,green,,,,,red,,,,3,red,,,,,,,,,green,,,
circle,211,0.5,27,311,2,0.25,,shape,7.7028,1,task,111,211,cloud,task,,,111,,,1,0.5,female,311,,0.25,3,311,3,,0,blue,331,0.5,square,"['solid', 'blue']",0.5,331-3,,1,0,0
circle,332,0.5,28,321,4,0.29411764705882354,,shape,7.7028,1,task,221,321,cloud,task,,,321,,,1,0.5882352941176471,female,221,,0.11764705882352942,3,332,3,,0,blue,22a2b,0.2,square,"['striped', 'polka-dotted', 'blue', 'red']",0.5,22a2b-2b,,1,6940,1
circle,112,0.5,29,332,4,0.1724137931034483,,shape,7.7028,1,task,112,332,cloud,task,,,332,,,1,0.6896551724137931,female,133,,0.13793103448275862,3,133,3,,0,red,22b2b,0.2,square,"['solid', 'polka-dotted', 'red', 'green']",0.25,22b2b-2,,1,21690,2
circle,212,0.5,30,122,3,0.4117647058823529,,shape,7.7028,1,task,212,122,cloud,task,,,222,,,1,0.5882352941176471,female,122,,0,3,222,3,,0,striped,322b,0,square,"['solid', 'striped', 'red']",0.7,322b-2,,1,3620,3
,,,,,,,,,7.7028,,,,,,,,0.9,,,,,,,,,,,,3,,,,,,,,,,,,,
,,,,,,,cloud,,7.7028,,,,,,,square,,,3,square,,,,,circle,,,,3,circle,,,,,,,,,cloud,,,
striped,323,0,3,332,4,0.20833333333333334,,texture,9.34245,1,task,132,332,solid,task,,,132,,,2,0.7916666666666666,female,332,,0,0,323,4,,0.5,square,22a2b,0,polka-dotted,"['cloud', 'square', 'red', 'green']",0.25,22a2b-2a,,0.95,19221,0
striped,212,0,4,133,5,0,,texture,9.34245,1,task,212,313,solid,task,,,313,,,2,0.9090909090909091,female,133,,0.09090909090909091,0,133,4,,0.5,green,22b1,0.1,polka-dotted,"['cloud', 'circle', 'square', 'red', 'green']",0,22b1-2,,1,22241,1
striped,321,0,5,321,4,0,,texture,9.34245,1,task,311,321,solid,task,,,232,,,2,0.6060606060606061,female,311,,0.393939393939394,0,232,4,,0.5,blue,22a1,0.65,polka-dotted,"['circle', 'square', 'blue', 'red']",0,22a1-3,,1,5721,2
striped,322,0,6,131,5,0,,texture,9.34245,1,task,131,322,solid,task,,,131,,,2,0.7407407407407407,female,113,,0.25925925925925924,0,113,4,,0.5,cloud,211,0.35,polka-dotted,"['cloud', 'square', 'blue', 'red', 'green']",0,211-3,,1,9131,3
,,,,,,,,,9.34245,,,,,,,,0.65,,,,,,,,,,,,4,,,,,,,,,,,,,
,,,,,,,striped,,9.34245,,,,,,,polka-dotted,,,3,polka-dotted,,,,,solid,,,,4,solid,,,,,,,,,striped,,,
striped,122,1,11,312,4,0.6666666666666666,,texture,9.34245,0.5,task,331,312,solid,task,,,331,,,2,0.3333333333333333,female,312,,0,1,122,4,,0,red,22b1,0,polka-dotted,"['cloud', 'square', 'blue', 'red']",1,22b1-3,,0.5,2831,0
striped,211,1,12,211,5,0.6451612903225806,,texture,9.34245,0.5,task,211,232,solid,task,,,313,,,2,0.3225806451612903,female,232,,0.03225806451612903,1,313,4,,0,circle,22b1,0.05,polka-dotted,"['circle', 'square', 'blue', 'red', 'green']",1,22b1-2,,0.5,12611,1
striped,221,1,13,212,4,0.606060606060606,,texture,9.34245,0.5,task,221,131,solid,task,,,131,,,2,0.3333333333333333,female,212,,0.06060606060606061,1,212,4,,0,circle,22b1,0.1,polka-dotted,"['cloud', 'circle', 'blue', 'red']",1,22b1-3,,0.55,1391,2
striped,313,1,14,313,4,0.606060606060606,,texture,9.34245,0.5,task,321,312,solid,task,,,321,,,2,0.3333333333333333,female,312,,0.06060606060606061,1,313,4,,0,square,321,0.1,polka-dotted,"['square', 'blue', 'red', 'green']",1,321-2,,0.55,12000,3
,,,,,,,,,9.34245,,,,,,,,0.4,,,,,,,,,,,,4,,,,,,,,,,,,,
,,,,,,,polka-dotted,,9.34245,,,,,,,solid,,,3,solid,,,,,striped,,,,4,striped,,,,,,,,,polka-dotted,,,
striped,313,0,19,323,2,0.2777777777777778,,texture,9.34245,0.5,task,313,323,solid,task,,,333,,,2,0.2777777777777778,female,323,,0.4444444444444445,2,333,4,,1,square,331,0.8,polka-dotted,"['square', 'green']",0.5,331-3,,0.5,28730,0
striped,133,0,20,133,4,0,,texture,9.34245,0.5,task,112,312,solid,task,,,312,,,2,0.5151515151515151,female,112,,0.4848484848484849,2,133,4,,1,cloud,22a2b,0.8,polka-dotted,"['cloud', 'square', 'red', 'green']",0,22a2b-2a,,0.85,20881,1
striped,122,0,21,222,3,0,,texture,9.34245,0.5,task,212,122,solid,task,,,222,,,2,0.45945945945945943,female,212,,0.5405405405405405,2,222,4,,1,circle,322b,1,polka-dotted,"['cloud', 'circle', 'red']",0,322b-2,,0.85,3621,2
striped,233,0,22,323,5,0,,texture,9.34245,0.5,task,112,323,solid,task,,,112,,,2,0.4444444444444445,female,323,,0.5555555555555556,2,233,4,,1,green,211,1,polka-dotted,"['cloud', 'circle', 'square', 'red', 'green']",0,211-3,,0.8,25621,3
,,,,,,,,,9.34245,,,,,,,,0.55,,,,,,,,,,,,4,,,,,,,,,,,,,
,,,,,,,polka-dotted,,9.34245,,,,,,,striped,,,3,striped,,,,,solid,,,,4,solid,,,,,,,,,polka-dotted,,,
red,212,1,27,213,4,0.30303030303030304,,color,9.34245,0.5,task,212,122,blue,task,,,213,,,3,0.6060606060606061,female,122,,0.09090909090909091,3,213,4,,0,circle,22a2b,0.15,green,"['cloud', 'circle', 'solid', 'striped']",0.5,22a2b-2b,,1,10452,0
red,233,1,28,231,4,0.5128205128205129,,color,9.34245,0.5,task,121,231,blue,task,,,231,,,3,0.38461538461538464,female,121,,0.10256410256410257,3,233,4,,0,polka-dotted,22a2b,0.2,green,"['cloud', 'circle', 'striped', 'polka-dotted']",1,22a2b-2b,,0.75,23242,1
red,232,1,29,221,4,0.5555555555555556,,color,9.34245,0.5,task,221,232,blue,task,,,221,,,3,0.33333333333333337,female,123,,0.11111111111111113,3,123,4,,0,striped,22b1,0.2,green,"['cloud', 'circle', 'striped', 'polka-dotted']",1,22b1-3,,0.6,14542,2
red,132,1,30,131,4,0.5555555555555556,,color,9.34245,0.5,task,131,212,blue,task,,,131,,,3,0.33333333333333337,female,212,,0.11111111111111113,3,132,4,,0,cloud,22a2b,0.2,green,"['cloud', 'circle', 'solid', 'polka-dotted']",1,22a2b-2b,,0.6,5062,3
,,,,,,,,,9.34245,,,,,,,,0.6,,,,,,,,,,,,4,,,,,,,,,,,,,
,,,,,,,green,,9.34245,,,,,,,blue,,,3,blue,,,,,red,,,,4,red,,,,,,,,,green,,,
striped,112,0.5,3,112,4,0.5172413793103449,,texture,6.6268666666666665,0,task,131,112,solid,task,,,133,,,2,0.13793103448275862,female,131,,0.3448275862068966,0,133,5,,1,cloud,321,0.5,polka-dotted,"['cloud', 'blue', 'red', 'green']",0.75,321-2,,0.2,20660,0
striped,331,0.5,4,321,4,0.3448275862068966,,texture,6.6268666666666665,0,task,321,331,solid,task,,,212,,,2,0.13793103448275862,female,321,,0.5172413793103449,0,212,5,,1,blue,22a1,0.75,polka-dotted,"['circle', 'square', 'blue', 'red']",0.5,22a1-3,,0.2,1531,1
striped,313,0.5,5,312,4,0.38709677419354843,,texture,6.6268666666666665,0,task,312,232,solid,task,,,312,,,2,0.09677419354838711,female,232,,0.5161290322580646,0,313,5,,1,red,22a2b,0.8,polka-dotted,"['circle', 'square', 'red', 'green']",0.6,22a2b-2a,,0.15,12711,2
