"","X","workerid","pref1","order0","simPreference0","slide_number","simulatedAnswer","numFeatures","normResponse0","simRank1","targetFeature","Answer.time_in_minutes","simPreference2","trial_type","obj1","obj2","pref0","name","guessRank0","certainty","order2","evalNum","simRank0","targetFeatureNum","normResponse2","sex","order1","guessRank2","normResponse1","blockNr","obj3","simRank2","simPreference1","utterance","uttCode","response1","pref2","featuresPresent","response0","targetUttCode","guessRank1","response2","item","trialNum","education","enjoyment","language","gender","comments","age","assess","orderObjNum1","orderObjNum2","orderObjNum3","simulatedAnswerObjNum","utteranceNum","evalNumModel","allPresentFeaValues","ambiguous","preferencesPrior1","preferencesPrior2","preferencesPrior3"
"60",60,3,"red",233,0.5,22,233,4,0.447368421052632,"blue","color",7.7028,1,"task",111,132,"blue","task","blue",0.8,111,"3","green",3,0.447368421052632,"female",132,"red",0.105263157894737,2,233,"red",0,"polka-dotted","22b1",0.2,"green","['cloud', 'circle', 'solid', 'polka-dotted']",0.85,"22b1-3","green",0.85,24052,3,4,2,"English","Male",NA,49,"Yes",26,16,1,26,"6","3","2, 6, 9, 1, 6, 8, 1, 4, 7",TRUE,0.232558139534884,0.0697674418604651,0.697674418604651
"64",64,3,"circle",212,0.5,30,122,3,0.411764705882353,"cloud","shape",7.7028,1,"task",212,122,"cloud","task","square",0.9,222,"3","square",1,0.588235294117647,"female",122,"circle",0,3,222,"circle",0,"striped","322b",0,"square","['solid', 'striped', 'red']",0.7,"322b-2","cloud",1,3620,3,4,2,"English","Male",NA,49,"Yes",11,13,14,13,"5","3","2, 4, 8, 1, 5, 8, 2, 5, 8",TRUE,0.222222222222222,0.111111111111111,0.666666666666667
"68",68,4,"striped",322,0,6,131,5,0,"striped","texture",9.34245,1,"task",131,322,"solid","task","polka-dotted",0.65,131,"3","polka-dotted",2,0.740740740740741,"female",113,"solid",0.259259259259259,0,113,"solid",0.5,"cloud","211",0.35,"polka-dotted","['cloud', 'square', 'blue', 'red', 'green']",0,"211-3","striped",1,9131,3,3,1,"english","Female","thank you",58,"Yes",15,19,7,7,"1","3","3, 5, 8, 1, 4, 9, 1, 6, 7",TRUE,0.153846153846154,0.384615384615385,0.461538461538462
"72",72,4,"striped",313,1,14,313,4,0.606060606060606,"polka-dotted","texture",9.34245,0.5,"task",321,312,"solid","task","solid",0.4,321,"3","solid",2,0.333333333333333,"female",312,"striped",0.0606060606060606,1,313,"striped",0,"square","321",0.1,"polka-dotted","['square', 'blue', 'red', 'green']",1,"321-2","polka-dotted",0.55,12000,3,3,1,"english","Female","thank you",58,"Yes",21,12,6,21,"3","3","3, 4, 9, 3, 4, 8, 3, 5, 7",TRUE,0.473684210526316,0.131578947368421,0.394736842105263
"76",76,4,"striped",233,0,22,323,5,0,"polka-dotted","texture",9.34245,0.5,"task",112,323,"solid","task","striped",0.55,112,"3","striped",2,0.444444444444444,"female",323,"solid",0.555555555555556,2,233,"solid",1,"green","211",1,"polka-dotted","['cloud', 'circle', 'square', 'red', 'green']",0,"211-3","polka-dotted",0.8,25621,3,3,1,"english","Female","thank you",58,"Yes",26,24,10,24,"9","3","2, 6, 9, 3, 5, 9, 1, 4, 8",TRUE,0.0612244897959184,0.73469387755102,0.204081632653061
"80",80,4,"red",132,1,30,131,4,0.555555555555556,"green","color",9.34245,0.5,"task",131,212,"blue","task","blue",0.6,131,"3","blue",3,0.333333333333333,"female",212,"red",0.111111111111111,3,132,"red",0,"cloud","22a2b",0.2,"green","['cloud', 'circle', 'solid', 'polka-dotted']",1,"22a2b-2b","green",0.6,5062,3,3,1,"english","Female","thank you",58,"Yes",16,11,7,7,"1","2","1, 6, 8, 2, 4, 8, 1, 6, 7",TRUE,0.633802816901408,0.190140845070423,0.176056338028169
"84",84,5,"striped",131,0.5,6,323,5,0.375,"solid","texture",6.62686666666667,0,"task",131,213,"solid","task","striped",0.75,213,"3","striped",2,0.09375,"female",323,"polka-dotted",0.53125,0,323,"polka-dotted",1,"green","211",0.85,"polka-dotted","['cloud', 'circle', 'square', 'blue', 'green']",0.6,"211-3","solid",0.15,19481,3,3,2,"English","Female",NA,34,"Yes",7,24,20,24,"9","3","1, 6, 7, 3, 5, 9, 2, 4, 9",TRUE,0.0983606557377049,0.87431693989071,0.0273224043715847
"88",88,5,"striped",232,1,14,212,2,0.633333333333333,"striped","texture",6.62686666666667,0,"task",212,222,"solid","task","solid",0.6,222,"2","solid",2,0.233333333333333,"female",212,"striped",0.133333333333333,1,232,"polka-dotted",0.5,"circle","331",0.2,"polka-dotted","['circle', 'red']",0.95,"331-3","polka-dotted",0.35,6480,3,3,2,"English","Female",NA,34,"Yes",17,11,14,11,"2","2","2, 6, 8, 2, 4, 8, 2, 5, 8",TRUE,0.810126582278481,0.0759493670886076,0.113924050632911
"92",92,5,"circle",213,1,22,311,4,0.484848484848485,"square","shape",6.62686666666667,0.5,"task",311,331,"cloud","task","cloud",0.65,331,"3","cloud",1,0.363636363636364,"female",311,"circle",0.151515151515152,2,213,"circle",0,"solid","22a2b",0.25,"square","['solid', 'polka-dotted', 'blue', 'green']",0.8,"22a2b-2a","square",0.6,9990,3,3,2,"English","Female",NA,34,"Yes",20,3,9,3,"4","3","2, 4, 9, 3, 4, 7, 3, 6, 7",TRUE,0.784313725490196,0.0392156862745098,0.176470588235294
"96",96,5,"striped",211,0,30,333,4,0.0833333333333333,"polka-dotted","texture",6.62686666666667,0.5,"task",211,313,"solid","task","striped",0.6,313,"3","striped",2,0.208333333333333,"female",333,"solid",0.708333333333333,3,333,"solid",1,"green","22a2b",0.85,"polka-dotted","['circle', 'square', 'blue', 'green']",0.1,"22a2b-2b","polka-dotted",0.25,27911,3,3,2,"English","Female",NA,34,"Yes",2,27,21,27,"9","2","2, 4, 7, 3, 6, 9, 3, 4, 9",TRUE,0.186206896551724,0.744827586206896,0.0689655172413793
"100",100,6,"striped",213,0,6,231,4,0.0454545454545455,"striped","texture",6.78405,1,"task",231,232,"solid","task","polka-dotted",0.3,232,"3","polka-dotted",2,0.727272727272727,"male",231,"solid",0.227272727272727,0,213,"solid",0.5,"circle","321",0.25,"polka-dotted","['circle', 'blue', 'red', 'green']",0.05,"321-2","striped",0.8,10960,3,3,1,"English","Female",NA,42,"Yes",20,8,17,8,"2","3","2, 4, 9, 2, 6, 7, 2, 6, 8",TRUE,0.0957446808510638,0.425531914893617,0.478723404255319
"104",104,6,"red",323,0.5,14,311,4,0.266666666666667,"blue","color",6.78405,0,"task",311,331,"blue","task","green",0.35,331,"0","red",3,0.533333333333333,"male",311,"red",0.2,1,323,"green",1,"square","321",0.3,"green","['square', 'solid', 'striped', 'polka-dotted']",0.4,"321-2","blue",0.8,18011,3,3,1,"English","Female",NA,42,"Yes",24,3,9,3,"3","3","3, 5, 9, 3, 4, 7, 3, 6, 7",TRUE,0.0974729241877256,0.866425992779783,0.036101083032491
"108",108,6,"striped",123,0,22,133,4,0.032258064516129,"striped","texture",6.78405,1,"task",312,123,"solid","task","striped",0.55,312,"2","polka-dotted",2,0.419354838709677,"male",133,"solid",0.548387096774194,2,133,"solid",0.5,"green","22a1",0.85,"polka-dotted","['cloud', 'square', 'red', 'green']",0.05,"22a1-3","polka-dotted",0.65,22451,3,3,1,"English","Female",NA,42,"Yes",22,25,12,25,"9","2","1, 5, 9, 1, 6, 9, 3, 4, 8",TRUE,0.245901639344262,0.163934426229508,0.590163934426229
"112",112,6,"circle",123,0,30,323,4,0.566666666666667,"circle","shape",6.78405,1,"task",112,123,"cloud","task","cloud",0.45,323,"1","square",1,0.366666666666667,"male",112,"circle",0.0666666666666667,3,323,"cloud",0.5,"green","22a2b",0.1,"square","['solid', 'striped', 'red', 'green']",0.85,"22a2b-2b","square",0.55,19900,3,3,1,"English","Female",NA,42,"Yes",22,10,24,24,"9","3","1, 5, 9, 1, 4, 8, 3, 5, 9",TRUE,0.141315014720314,0.368007850834151,0.490677134445535
"148",148,9,"red",331,1,6,121,4,1,"red","color",5.35473333333333,0,"task",121,331,"blue","task","blue",1,121,"2","blue",3,0,"female",132,"red",0,0,132,"green",0.5,"cloud","22b2b",0,"green","['cloud', 'square', 'striped', 'polka-dotted']",1,"22b2b-2","green",0,4862,3,3,1,"English","Female",NA,50,"Yes",9,16,4,4,"1","2","3, 6, 7, 1, 6, 8, 1, 5, 7",TRUE,0.264705882352941,0.490196078431373,0.245098039215686
"152",152,9,"red",313,0,14,313,3,0,"green","color",5.35473333333333,0.5,"task",111,311,"blue","task","red",1,311,"2","red",3,0.5,"female",111,"blue",0.5,1,313,"blue",1,"square","322b",1,"green","['cloud', 'square', 'solid']",0,"322b-2","green",1,11411,3,3,1,"English","Female",NA,50,"Yes",21,1,3,21,"3","3","3, 4, 9, 1, 4, 7, 3, 4, 7",TRUE,0.148148148148148,0.666666666666667,0.185185185185185
"156",156,9,"red",322,0,22,322,4,0,"red","color",5.35473333333333,1,"task",311,212,"blue","task","red",1,212,"3","green",3,0.5,"female",311,"blue",0.5,2,322,"blue",0.5,"square","22b2b",1,"green","['circle', 'square', 'solid', 'striped']",0,"22b2b-2","green",1,4112,3,3,1,"English","Female",NA,50,"Yes",15,3,11,15,"3","3","3, 5, 8, 3, 4, 7, 2, 4, 8",TRUE,0.0255754475703325,0.207161125319693,0.767263427109974
"160",160,9,"striped",222,0.5,30,212,4,0.333333333333333,"solid","texture",5.35473333333333,1,"task",331,212,"solid","task","polka-dotted",0.5,331,"3","polka-dotted",2,0.666666666666667,"female",212,"striped",0,3,222,"striped",0,"circle","22a1",0,"polka-dotted","['circle', 'square', 'blue', 'red']",0.5,"22a1-3","solid",1,3391,3,3,1,"English","Female",NA,50,"Yes",14,11,9,11,"2","3","2, 5, 8, 2, 4, 8, 3, 6, 7",TRUE,0.289855072463768,0.130434782608696,0.579710144927536
"212",212,13,"red",131,0,6,132,4,0.232558139534884,"green","color",7.15476666666667,0.5,"task",131,132,"blue","task","red",0.7,132,"3","red",3,0.325581395348837,"female",313,"blue",0.441860465116279,0,313,"blue",1,"cloud","22a1",0.95,"green","['cloud', 'square', 'solid', 'polka-dotted']",0.5,"22a1-3","green",0.7,12512,3,4,2,"English","Female","None.",52,"No",7,21,16,16,"1","3","1, 6, 7, 3, 4, 9, 1, 6, 8",TRUE,0.0384615384615385,0.480769230769231,0.480769230769231
"216",216,13,"striped",212,0.5,14,222,2,0.277777777777778,"solid","texture",7.15476666666667,0,"task",212,222,"solid","task","striped",0.75,222,"3","striped",2,0.194444444444444,"female",232,"polka-dotted",0.527777777777778,1,232,"polka-dotted",1,"circle","331",0.95,"polka-dotted","['circle', 'red']",0.5,"331-3","solid",0.35,6480,3,4,2,"English","Female","None.",52,"No",11,17,14,14,"2","3","2, 4, 8, 2, 6, 8, 2, 5, 8",TRUE,0.3125,0.625,0.0625
"220",220,13,"circle",312,1,22,111,4,0.434782608695652,"circle","shape",7.15476666666667,0,"task",111,312,"cloud","task","cloud",0.6,111,"3","cloud",1,0.217391304347826,"female",332,"square",0.347826086956522,2,332,"square",0.5,"blue","22a2b",0.8,"square","['solid', 'polka-dotted', 'blue', 'red']",1,"22a2b-2a","circle",0.5,7350,3,4,2,"English","Female","None.",52,"No",12,18,1,1,"7","2","3, 4, 8, 3, 6, 8, 1, 4, 7",FALSE,0.657534246575342,0.123287671232877,0.219178082191781
"224",224,13,"red",222,0,30,223,4,0.153846153846154,"red","color",7.15476666666667,1,"task",331,222,"blue","task","red",0.85,331,"2","green",3,0.358974358974359,"female",223,"blue",0.487179487179487,3,223,"blue",0.5,"circle","22a1",0.95,"green","['circle', 'square', 'striped', 'polka-dotted']",0.3,"22a1-3","green",0.7,16262,3,4,2,"English","Female","None.",52,"No",14,23,9,23,"2","3","2, 5, 8, 2, 5, 9, 3, 6, 7",TRUE,0.0602409638554217,0.216867469879518,0.72289156626506
"228",228,14,"striped",332,0,6,332,2,0,"striped","texture",7.1862,1,"task",312,322,"solid","task","polka-dotted",0.85,312,"3","polka-dotted",2,0.645161290322581,"female",322,"solid",0.354838709677419,0,332,"solid",0.5,"square","331",0.55,"polka-dotted","['square', 'red']",0,"331-3","striped",1,7820,3,2,2,"English","Male","Thanks for the HIT!  I did my best and hope the data is useful!",44,"Yes",18,15,12,18,"3","2","3, 6, 8, 3, 5, 8, 3, 4, 8",TRUE,0.142857142857143,0.0952380952380952,0.761904761904762
"232",232,14,"circle",323,0,14,323,4,0.2,"square","shape",7.1862,0.5,"task",121,122,"cloud","task","circle",0.35,121,"2","circle",1,0.4,"female",122,"cloud",0.4,1,323,"cloud",1,"striped","321",1,"square","['striped', 'blue', 'red', 'green']",0.5,"321-2","square",1,18400,3,2,2,"English","Male","Thanks for the HIT!  I did my best and hope the data is useful!",44,"Yes",24,13,4,24,"5","3","3, 5, 9, 1, 5, 8, 1, 5, 7",TRUE,0.136612021857924,0.59016393442623,0.273224043715847
"236",236,14,"circle",313,1,22,111,3,1,"square","shape",7.1862,0.5,"task",111,311,"cloud","task","cloud",1,111,"3","cloud",1,0,"female",311,"circle",0,2,313,"circle",0,"solid","322b",0,"square","['solid', 'blue', 'green']",1,"322b-2","square",0,11410,3,2,2,"English","Male","Thanks for the HIT!  I did my best and hope the data is useful!",44,"Yes",21,3,1,1,"4","2","3, 4, 9, 3, 4, 7, 1, 4, 7",TRUE,0.610687022900763,0.274809160305344,0.114503816793893
"240",240,14,"circle",313,0,30,211,4,0,"square","shape",7.1862,0.5,"task",211,112,"cloud","task","circle",1,112,"3","circle",1,0.411764705882353,"female",211,"cloud",0.588235294117647,3,313,"cloud",1,"solid","311",1,"square","['solid', 'blue', 'red', 'green']",0,"311-3","square",0.7,11770,3,2,2,"English","Male","Thanks for the HIT!  I did my best and hope the data is useful!",44,"Yes",21,2,10,2,"4","2","3, 4, 9, 2, 4, 7, 1, 4, 8",TRUE,0.132352941176471,0.794117647058823,0.0735294117647059
"244",244,15,"red",322,0.5,6,322,4,0.325,"blue","color",5.97463333333333,0,"task",121,331,"blue","task","red",0.65,121,"3","red",3,0.2,"female",331,"green",0.475,0,322,"green",1,"square","22b2b",0.95,"green","['cloud', 'square', 'striped', 'polka-dotted']",0.65,"22b2b-2","blue",0.4,3952,3,3,2,"English","Other","This was a fun game",28,"Yes",15,9,4,15,"3","1","3, 5, 8, 3, 6, 7, 1, 5, 7",TRUE,0.142857142857143,0.321428571428571,0.535714285714286
"248",248,15,"circle",112,0.5,14,113,4,0.321428571428571,"cloud","shape",5.97463333333333,0,"task",112,113,"cloud","task","circle",0.9,323,"3","circle",1,0.0357142857142857,"female",113,"square",0.642857142857143,1,323,"square",1,"green","22a2b",0.9,"square","['solid', 'striped', 'red', 'green']",0.45,"22a2b-2a","cloud",0.05,19330,3,3,2,"English","Other","This was a fun game",28,"Yes",10,19,24,19,"9","3","1, 4, 8, 1, 4, 9, 3, 5, 9",TRUE,0.36,0.54,0.1
"252",252,15,"circle",312,1,22,112,2,0.473684210526316,"circle","shape",5.97463333333333,0,"task",112,212,"cloud","task","cloud",0.4,212,"2","cloud",1,0.263157894736842,"female",112,"circle",0.263157894736842,2,312,"square",0.5,"red","331",0.5,"square","['solid', 'red']",0.9,"331-3","square",0.5,2190,3,3,2,"English","Other","This was a fun game",28,"Yes",12,10,11,10,"8","3","3, 4, 8, 1, 4, 8, 2, 4, 8",TRUE,0.685714285714286,0.171428571428571,0.142857142857143
"256",256,15,"circle",223,0.5,30,223,4,0.25,"cloud","shape",5.97463333333333,0,"task",322,223,"cloud","task","circle",0.35,133,"3","circle",1,0.194444444444444,"female",322,"square",0.555555555555556,3,133,"square",1,"green","22b1",1,"square","['striped', 'polka-dotted', 'red', 'green']",0.45,"22b1-3","cloud",0.35,22690,3,3,2,"English","Other","This was a fun game",28,"Yes",23,15,25,23,"9","2","2, 5, 9, 3, 5, 8, 1, 6, 9",TRUE,0.672243800418285,0.290409321780699,0.0373468778010158
"276",276,17,"striped",232,0.5,6,213,5,0.631578947368421,"solid","texture",11.7218666666667,0,"task",331,232,"solid","task","solid",0.6,213,"2","striped",2,0,"female",331,"polka-dotted",0.368421052631579,0,213,"polka-dotted",1,"circle","22b1",0.35,"polka-dotted","['circle', 'square', 'blue', 'red', 'green']",0.6,"22b1-2","striped",0,10971,3,1,2,"English","Female","I actually had fun with this hit, thank you!",40,"Yes",17,9,20,20,"2","3","2, 6, 8, 3, 6, 7, 2, 4, 9",TRUE,0.126582278481013,0.759493670886076,0.113924050632911
"280",280,17,"red",313,1,14,311,4,1,"red","color",11.7218666666667,0,"task",311,232,"blue","task","blue",1,311,"2","blue",3,0,"female",232,"red",0,1,313,"green",0.5,"square","22a1",0,"green","['circle', 'square', 'solid', 'polka-dotted']",1,"22a1-3","green",0,12622,3,1,2,"English","Female","I actually had fun with this hit, thank you!",40,"Yes",21,17,3,3,"3","3","3, 4, 9, 2, 6, 8, 3, 4, 7",TRUE,0.766467065868263,0.161676646706587,0.0718562874251497
"284",284,17,"circle",232,0.5,22,232,4,0.310344827586207,"cloud","shape",11.7218666666667,0,"task",312,232,"cloud","task","circle",0.65,313,"3","circle",1,0,"female",312,"square",0.689655172413793,2,313,"square",1,"red","22a2b",1,"square","['solid', 'polka-dotted', 'red', 'green']",0.45,"22a2b-2a","cloud",0,12710,3,1,2,"English","Female","I actually had fun with this hit, thank you!",40,"Yes",17,12,21,17,"8","2","2, 6, 8, 3, 4, 8, 3, 4, 9",TRUE,0.584415584415584,0.311688311688312,0.103896103896104
"288",288,17,"striped",123,0,30,132,5,0,"striped","texture",11.7218666666667,1,"task",231,132,"solid","task","polka-dotted",0.8,132,"3","polka-dotted",2,0.909090909090909,"female",231,"solid",0.0909090909090909,3,123,"solid",0.5,"cloud","22b1",0.1,"polka-dotted","['cloud', 'circle', 'blue', 'red', 'green']",0,"22b1-2","striped",1,14421,3,1,2,"English","Female","I actually had fun with this hit, thank you!",40,"Yes",22,8,16,16,"1","1","1, 5, 9, 2, 6, 7, 1, 6, 8",TRUE,0.337078651685393,0.359550561797753,0.303370786516854
"292",292,18,"striped",321,1,6,321,5,0.586206896551724,"striped","texture",3.2663,0,"task",321,332,"solid","task","solid",0.65,213,"3","solid",2,0.103448275862069,"male",332,"polka-dotted",0.310344827586207,0,213,"polka-dotted",0.5,"square","211",0.45,"polka-dotted","['circle', 'square', 'blue', 'red', 'green']",0.85,"211-3","striped",0.15,11101,3,3,2,"English","Male",NA,36,"Yes",6,18,20,6,"3","2","3, 5, 7, 3, 6, 8, 2, 4, 9",TRUE,0.519230769230769,0.192307692307692,0.288461538461538
"296",296,18,"striped",122,1,14,112,3,1,"striped","texture",3.2663,0,"task",121,112,"solid","task","solid",0.95,121,"2","solid",2,0,"male",112,"striped",0,1,122,"polka-dotted",0.5,"red","322b",0,"polka-dotted","['cloud', 'blue', 'red']",1,"322b-2","polka-dotted",0,2590,3,3,2,"English","Male",NA,36,"Yes",13,10,4,10,"8","2","1, 5, 8, 1, 4, 8, 1, 5, 7",TRUE,0.421052631578947,0.473684210526316,0.105263157894737
"300",300,18,"red",222,1,22,222,4,0.571428571428571,"red","color",3.2663,0,"task",111,212,"blue","task","blue",0.5,212,"3","blue",3,0.2,"male",111,"green",0.228571428571429,2,222,"green",0.5,"striped","22a2b",0.4,"green","['cloud', 'circle', 'solid', 'striped']",1,"22a2b-2a","red",0.35,3312,3,3,2,"English","Male",NA,36,"Yes",14,1,11,14,"5","3","2, 5, 8, 1, 4, 7, 2, 4, 8",FALSE,0.759493670886076,0.126582278481013,0.113924050632911
"304",304,18,"circle",233,0.5,30,222,4,0.326086956521739,"cloud","shape",3.2663,0,"task",222,322,"cloud","task","circle",0.2,322,"3","circle",1,0.282608695652174,"male",222,"square",0.391304347826087,3,233,"square",1,"striped","22a2b",0.9,"square","['striped', 'polka-dotted', 'red', 'green']",0.75,"22a2b-2b","cloud",0.65,24040,3,3,2,"English","Male",NA,36,"Yes",26,14,15,14,"5","3","2, 6, 9, 2, 5, 8, 3, 5, 8",TRUE,0.208494208494209,0.694980694980695,0.0965250965250965
"340",340,21,"red",213,1,6,111,5,0.484848484848485,"red","color",10.4254333333333,0,"task",111,213,"blue","task","blue",0.65,323,"3","blue",3,0.212121212121212,"male",111,"green",0.303030303030303,0,323,"green",0.5,"solid","22b1",0.5,"green","['cloud', 'circle', 'square', 'solid', 'striped']",0.8,"22b1-2","red",0.35,19422,3,2,1,"english","Male",NA,38,"Yes",20,1,24,1,"4","2","2, 4, 9, 1, 4, 7, 3, 5, 9",TRUE,0.454545454545455,0.454545454545455,0.0909090909090909
"344",344,21,"striped",311,0.5,14,311,4,0.375,"solid","texture",10.4254333333333,1,"task",311,321,"solid","task","polka-dotted",0.75,132,"3","polka-dotted",2,0.5625,"male",321,"striped",0.0625,1,132,"striped",0,"square","22a1",0.1,"polka-dotted","['cloud', 'square', 'blue', 'red']",0.6,"22a1-3","solid",0.9,4671,3,2,1,"english","Male",NA,38,"Yes",3,6,16,3,"3","3","3, 4, 7, 3, 5, 7, 1, 6, 8",TRUE,0.375,0.0625,0.5625
"348",348,21,"striped",333,0,22,321,4,0.162162162162162,"polka-dotted","texture",10.4254333333333,0.5,"task",321,332,"solid","task","striped",0.75,321,"3","striped",2,0.324324324324324,"male",332,"solid",0.513513513513513,2,333,"solid",1,"square","321",0.95,"polka-dotted","['square', 'blue', 'red', 'green']",0.3,"321-2","polka-dotted",0.6,27410,3,2,1,"english","Male",NA,38,"Yes",27,18,6,6,"3","2","3, 6, 9, 3, 6, 8, 3, 5, 7",TRUE,0.155844155844156,0.779220779220779,0.0649350649350649
